TF,Target,Mode,PMID,Tf_age,Tg_age
Aatf,Bak1,Unknown,22983126,Rodentia,Vertebrata
Aatf,Bax,Unknown,22983126,Rodentia,Opisthokonta
Aatf,Bbc3,Unknown,22983126,Rodentia,Rodentia
Aatf,Cdkn1a,Unknown,21317046,Rodentia,Vertebrata
Aatf,Tpt1,Activation,17157788,Rodentia,Vertebrata
Aatf,Trp53,Activation,17157788;20708154,Rodentia,Opisthokonta
Abl1,Trp53,Unknown,7651743,Eumetazoa,Opisthokonta
Abl1,Trp73,Unknown,11466610,Eumetazoa,Mammalia
Aebp2,Jarid2,Unknown,25451679,Vertebrata,Vertebrata
Aebp2,Snai2,Unknown,25451679,Vertebrata,Vertebrata
Aes,Ihh,Activation,15183720,,Eumetazoa
Ahr,Abcc4,Unknown,20395535,Opisthokonta,Opisthokonta
Ahr,Apaf1,Unknown,18524851,Opisthokonta,Vertebrata
Ahr,Cyp19a1,Activation,16260617,Opisthokonta,Opisthokonta
Ahr,Cyp1a1,Activation,1317062;15313166;19474220,Opisthokonta,Eumetazoa
Ahr,Cyp1a1,Unknown,11248424;19470599;24639079,Opisthokonta,Eumetazoa
Ahr,Cyp1a2,Unknown,22442665,Opisthokonta,Eumetazoa
Ahr,Cyp1b1,Unknown,19470599;22442665,Opisthokonta,> Eukaryota
Ahr,E2f2,Unknown,20573986,Opisthokonta,Eukaryota
Ahr,Gata4,Repression,22684894,Opisthokonta,Vertebrata
Ahr,Gsta1,Activation,19474220,Opisthokonta,Amniota
Ahr,Il17a,Repression,21266768,Opisthokonta,Mammalia
Ahr,Il17a,Unknown,21266776,Opisthokonta,Mammalia
Ahr,Il6,Repression,19703987;21930594,Opisthokonta,Eumetazoa
Ahr,Lhb,Unknown,24145128,Opisthokonta,Eumetazoa
Ahr,Nkx2-5,Repression,22684894,Opisthokonta,Vertebrata
Ahr,Nqo1,Activation,19474220,Opisthokonta,Eumetazoa
Ahr,Nqo1,Unknown,23800876,Opisthokonta,Eukaryota
Ahr,Pla2g4a,Activation,19716514,Opisthokonta,Eukaryota
Ahr,Ptgs2,Activation,15213229,Opisthokonta,Opisthokonta
Ahr,Serpinb2,Unknown,19822660,Opisthokonta,Eumetazoa
Ahr,Sim1,Unknown,14660629,Opisthokonta,Vertebrata
Ahr,Smoc2,Unknown,19146932,Opisthokonta,Eukaryota
Ahr,Snai2,Activation,16952353,Opisthokonta,Amniota
Ahr,Ugt1a6a,Activation,19474220,Opisthokonta,Vertebrata
Ahr,Vav3,Activation,21115475,Opisthokonta,Muridae
Aire,Bmp2,Unknown,23850677,Vertebrata,Vertebrata
Aire,F11,Activation,22203960,Vertebrata,Opisthokonta
Alx4,Fgf10,Activation,25673119,Opisthokonta,Vertebrata
Ankrd1,Myl2,Repression,9043061,Muridae,Opisthokonta
Ankrd1,Nppa,Repression,18273862,Muridae,Vertebrata
Apbb1,Lrp1,Repression,17920016,Vertebrata,Mammalia
Apbb1,Notch1,Unknown,22199353,Vertebrata,Vertebrata
Apc,Ctnnb1,Unknown,15327768,Eumetazoa,Vertebrata
Apc,Myc,Repression,10229202;16510874,Eumetazoa,Eumetazoa
Apc,Spp1,Activation,17565744,Eumetazoa,Vertebrata
Apc,Tcf4,Activation,10489374,Eumetazoa,Vertebrata
Apc,Trp53,Repression,18533991,Eumetazoa,Opisthokonta
Apex1,Apod,Unknown,20493910,> Eukaryota,Opisthokonta
Apex1,Blk,Activation,14594818,> Eukaryota,Opisthokonta
Apex1,Ccl12,Activation,17045925,> Eukaryota,Vertebrata
Apex1,Nfkb1,Activation,17045925;20498636,> Eukaryota,Rodentia
Apex1,Nfkb1,Unknown,19268524,> Eukaryota,Vertebrata
Apex1,Pax5,Activation,14594818,> Eukaryota,Vertebrata
Apex1,Ptgs2,Activation,20498636,> Eukaryota,Vertebrata
Apex1,Rela,Activation,17045925,> Eukaryota,Eumetazoa
Apex1,Tlr4,Repression,14706822,> Eukaryota,Vertebrata
Ar,Ccr2,Activation,19907077,Opisthokonta,Vertebrata
Ar,Cga,Repression,11518798,Opisthokonta,Vertebrata
Ar,Fkbp5,Unknown,16210365,Opisthokonta,Eumetazoa
Ar,Foxa1,Unknown,12750453,Opisthokonta,> Eukaryota
Ar,Klkb1,Unknown,22695118,Opisthokonta,Vertebrata
Ar,Nkx3-1,Activation,16697957,Opisthokonta,Opisthokonta
Ar,Nkx3-1,Unknown,23786676,Opisthokonta,Amniota
Ar,Nr0b1,Repression,12081648,Opisthokonta,Amniota
Ar,Psat1,Unknown,15923603,Opisthokonta,Eumetazoa
Ar,Runx2,Repression,19389811,Opisthokonta,Opisthokonta
Ar,Scnn1a,Activation,16172422,Opisthokonta,Vertebrata
Ar,Sox2,Repression,23326489,Opisthokonta,Vertebrata
Ar,Tnf,Activation,19907077,Opisthokonta,Opisthokonta
Ar,rsl,Activation,9727045,Opisthokonta,Vertebrata
Arid3a,Cr2,Unknown,19487031,Vertebrata,
Arid3a,Igh,Activation,19214191;21955986,Vertebrata,Opisthokonta
Arid3b,Igh,Activation,21955986,Eumetazoa,
Arid5b,Sox9,Unknown,24276541,Opisthokonta,
Arl6ip5,Parp1,Repression,17462538,Opisthokonta,Eukaryota
Arl6ip5,Xrcc1,Activation,17462538,Opisthokonta,Eukaryota
Arnt,Atxn3,Unknown,15233999,> Eukaryota,Vertebrata
Arnt,Cyp1a1,Activation,15313166;17023418,> Eukaryota,Eukaryota
Arnt,Cyp1a2,Unknown,22442665,> Eukaryota,Eumetazoa
Arnt,Cyp1b1,Unknown,22442665,> Eukaryota,Eumetazoa
Arnt,E2f2,Unknown,20573986,> Eukaryota,> Eukaryota
Arnt,Sim1,Unknown,14660629,> Eukaryota,Eukaryota
Arnt,Th,Repression,17457889,> Eukaryota,Eukaryota
Arntl,Bhlhe40,Activation,19032342,Eumetazoa,Eumetazoa
Arntl,Bhlhe40,Unknown,16267380,Eumetazoa,Opisthokonta
Arntl,Bhlhe41,Unknown,16267380,Eumetazoa,Opisthokonta
Arntl,Ctnnb1,Unknown,7787888,Eumetazoa,Opisthokonta
Arntl,Cxcl5,Unknown,25064128,Eumetazoa,Eumetazoa
Arntl,Dbp,Unknown,16474407,Eumetazoa,Mammalia
Arntl,Maoa,Unknown,18439826,Eumetazoa,Mammalia
Arntl,Nfe2l2,Repression,23547261,Eumetazoa,Eukaryota
Arntl,Per1,Activation,12397359;12544823;15147242,Eumetazoa,Vertebrata
Arntl,Per1,Unknown,16267380;21479263,Eumetazoa,Vertebrata
Arntl,Per2,Activation,24051492,Eumetazoa,Vertebrata
Arntl,Tcf3,Unknown,7787888,Eumetazoa,Vertebrata
Arntl,Vwf,Repression,20658528,Eumetazoa,Opisthokonta
Arntl,Wnt10a,Unknown,7787888,Eumetazoa,Vertebrata
Arntl2,Thbd,Unknown,17848551,Opisthokonta,Vertebrata
Arx,Kdm5c,Unknown,23246292,Vertebrata,Vertebrata
Arx,Shh,Activation,24968361,Vertebrata,Vertebrata
Ascl1,Bub1,Activation,15060276,Vertebrata,Vertebrata
Ascl1,Cdkn2d,Activation,15060276,Vertebrata,Eukaryota
Ascl1,Dll3,Unknown,19389376,Vertebrata,Eukaryota
Ascl1,Dll4,Activation,24257627,Vertebrata,Opisthokonta
Ascl1,Hes5,Unknown,22714260,Vertebrata,Opisthokonta
Ascl1,Pdgfra,Activation,17442807,Vertebrata,Opisthokonta
Ascl1,Phox2a,Activation,9435282,Vertebrata,Vertebrata
Ascl1,Rnd3,Activation,21435554,Vertebrata,Eumetazoa
Ascl1,Tph2,Activation,19542360,Vertebrata,Vertebrata
Ash1l,Tgfb1,Unknown,22488473,Vertebrata,Vertebrata
Ash1l,Timp1,Unknown,22488473,Vertebrata,> Eukaryota
Asxl1,Fabp4,Unknown,21047783,Vertebrata,Vertebrata
Atf1,Cebpb,Unknown,14593102,Opisthokonta,Vertebrata
Atf1,Hspa5,Activation,12871976,Opisthokonta,Eumetazoa
Atf1,Nudt1,Unknown,11314867,Opisthokonta,> Eukaryota
Atf1,Thbs1,Unknown,9371503,Opisthokonta,Eukaryota
Atf2,Ccnd1,Activation,10464245;9990041,Opisthokonta,Opisthokonta
Atf2,Cebpa,Activation,11243868,Opisthokonta,> Eukaryota
Atf2,Entpd1,Activation,20178980,Opisthokonta,Vertebrata
Atf2,Fgf21,Activation,25055037,Opisthokonta,Vertebrata
Atf2,Fos,Activation,21069729,Opisthokonta,Eumetazoa
Atf2,Gabrb3,Activation,8703044,Opisthokonta,Eumetazoa
Atf2,Il23a,Repression,18802055,Opisthokonta,Vertebrata
Atf2,Ins2,Activation,21278380,Opisthokonta,Vertebrata
Atf2,Ins2,Unknown,10909971,Opisthokonta,Mammalia
Atf2,Per1,Unknown,15226430,Opisthokonta,Mammalia
Atf2,Pparg,Activation,11243868,Opisthokonta,Vertebrata
Atf2,Rela,Activation,21350211,Opisthokonta,Eumetazoa
Atf2,Rhob,Activation,11160903,Opisthokonta,Vertebrata
Atf2,Serpinb5,Activation,17700520,Opisthokonta,Eukaryota
Atf2,Sox9,Unknown,24144697,Opisthokonta,Vertebrata
Atf2,Tnf,Unknown,12509451,Opisthokonta,Eukaryota
Atf2,Ucp1,Unknown,15024092,Opisthokonta,Vertebrata
Atf3,Atf3,Repression,22989952,Eumetazoa,Vertebrata
Atf3,Ccnd1,Activation,11375399,Eumetazoa,Eumetazoa
Atf3,Gck,Unknown,25074928,Eumetazoa,> Eukaryota
Atf3,Il12b,Repression,16688168,Eumetazoa,Vertebrata
Atf3,Il6,Repression,16688168,Eumetazoa,Vertebrata
Atf3,Pdx1,Repression,21821004,Eumetazoa,Eumetazoa
Atf3,Sort1,Repression,22466652,Eumetazoa,Vertebrata
Atf3,Tnfrsf10b,Activation,21927023,Eumetazoa,Eukaryota
Atf4,Bglap3,Unknown,21866569,Vertebrata,Muridae
Atf4,Cdkn1a,Activation,12611881,Vertebrata,Vertebrata
Atf4,Cdkn1b,Activation,12611881,Vertebrata,Vertebrata
Atf4,Ddr2,Activation,20564243,Vertebrata,Vertebrata
Atf4,Fgf15,Activation,23205607,Vertebrata,Vertebrata
Atf4,Fgf2,Unknown,22378151,Vertebrata,Eumetazoa
Atf4,Hspa5,Activation,12871976,Vertebrata,Eumetazoa
Atf4,Ihh,Unknown,19906842,Vertebrata,> Eukaryota
Atf4,Il6,Activation,23990363,Vertebrata,Eumetazoa
Atf4,Mcm7,Unknown,22739985,Vertebrata,Eumetazoa
Atf4,Mir106b,Unknown,22739985,Vertebrata,> Eukaryota
Atf4,Sphk2,Activation,25808625,Vertebrata,
Atf4,Trib3,Unknown,20592469,Vertebrata,Eukaryota
Atf6,Hspa5,Activation,12871976;16452489,Opisthokonta,Opisthokonta
Atf6,Wbp1,Activation,21841196,Opisthokonta,> Eukaryota
Atm,Cdkn1a,Repression,20368352,Opisthokonta,Vertebrata
Atm,Sp7,Activation,16644862,Opisthokonta,Vertebrata
Atm,Trp53,Activation,14752509,Opisthokonta,Opisthokonta
Atm,Trp53,Unknown,18171989,Opisthokonta,Opisthokonta
Atoh1,Barhl1,Activation,16384683,Vertebrata,Opisthokonta
Atoh1,Hes6,Activation,17826772,Vertebrata,Eumetazoa
Atoh1,Nr2f6,Activation,16679559,Vertebrata,Vertebrata
Atoh1,Pou4f3,Unknown,19908278,Vertebrata,Vertebrata
Bach1,Hbb,Repression,14660636;15809329,Vertebrata,Opisthokonta
Bach1,Hmox1,Repression,12356737;15743416;15809329;16487038;18426999;19119918;19282658;19439223;20501657;22712528;25391381;25463280,Vertebrata,
Bach1,Hmox1,Unknown,17257585;24613086,Vertebrata,Vertebrata
Bach1,Mmp1a,Activation,21873975,Vertebrata,Vertebrata
Bach1,Trp53,Repression,22348305,Vertebrata,Vertebrata
