,TF,Target,Mode,PMID,TF_age,Tg_age
3916,Nrf1,Grin1,Activation,19144849,Eumetazoa,Vertebrata
3917,Nrf1,Grin2b,Activation,19144849,Eumetazoa,Eukaryota
3918,Nrf1,Hmox1,Activation,18210237,Eumetazoa,Eumetazoa
3919,Nrf1,Ide,Activation,22870279,Eumetazoa,Eumetazoa
3920,Nrf1,Il1rn,Activation,21454555,Eumetazoa,Opisthokonta
3921,Nrf1,Kif17,Activation,21172391,Eumetazoa,Opisthokonta
3922,Nrf1,Mt1,Activation,24462598,Eumetazoa,Eumetazoa
3923,Nrf1,Nos1,Unknown,19615412,Eumetazoa,Eukaryota
3924,Nrf1,Nr3c1,Unknown,22491064,Eumetazoa,Eumetazoa
3925,Nrf1,Pvr,Unknown,10777530,Eumetazoa,Euk+Bac
3926,Nrf1,Sdha,Unknown,9492280,Eumetazoa,
3927,Nrf1,Sirt6,Activation,20816089,Eumetazoa,Vertebrata
3928,Nrf1,Sp7,Unknown,17510056,Eumetazoa,Eukaryota
3929,Nrf1,Tfam,Activation,25615794,Eumetazoa,Mammalia
3930,Nrip1,Cidea,Repression,18794372,Eumetazoa,Euk+Bac
3931,Nrip1,Pou5f1,Unknown,24489122,Eumetazoa,Vertebrata
3932,Nrip1,Ucp1,Repression,18195045,Vertebrata,Eumetazoa
3933,Nrip1,Ucp1,Unknown,16227589,Vertebrata,Cellular_organisms
3934,Nrl,Kcnv2,Activation,24664678,Vertebrata,Cellular_organisms
3935,Nrl,Mef2c,Activation,21715356,Vertebrata,Vertebrata
3936,Nrl,Nr2e3,Activation,18294621,Eumetazoa,Eumetazoa
3937,Nrl,Pde6a,Activation,15001570,Eumetazoa,Vertebrata
3938,Nrl,Pde6b,Unknown,12566383,Eumetazoa,Mammalia
3939,Nrl,Ppp2r5c,Unknown,21078119,Eumetazoa,Eukaryota
3940,Nrl,Prph2,Activation,20447394,Eumetazoa,Eukaryota
3941,Nrl,Rbp3,Repression,15277472,Eumetazoa,Vertebrata
3942,Nrl,Rho,Repression,15277472,Eumetazoa,Opisthokonta
3943,Nrl,Rho,Unknown,12566383,Eumetazoa,Eumetazoa
3944,Nrl,Sag,Unknown,10336455,Eumetazoa,Vertebrata
3945,Nupr1,Ccna2,Repression,23900510,Eumetazoa,Opisthokonta
3946,Nupr1,Ep300,Unknown,11940591,Eumetazoa,Eukaryota
3947,Nupr1,Gcg,Unknown,11940591,Eumetazoa,Eumetazoa
3948,Nupr1,Hmox1,Repression,25475530,Eumetazoa,Euk+Bac
3949,Nupr1,Paxip1,Unknown,11940591,Eumetazoa,Eumetazoa
3950,Nupr1,Tcf19,Repression,23900510,Eumetazoa,Eumetazoa
3951,Olig1,Smad3,Unknown,23720758,Eumetazoa,Opisthokonta
3952,Olig2,Gfap,Repression,14576772,Eumetazoa,Eukaryota
3953,Olig2,Pdgfra,Activation,17442807,Vertebrata,Eukaryota
3954,Olig2,Sox10,Unknown,20959288,Vertebrata,Vertebrata
3955,Onecut1,Foxa2,Unknown,9441664,Vertebrata,Euk+Bac
3956,Onecut1,Foxf1,Activation,16144835,Vertebrata,Eukaryota
3957,Onecut1,G6pc,Unknown,11279202,Eumetazoa,Vertebrata
3958,Onecut1,Mafa,Repression,23775071,Eumetazoa,Eumetazoa
3959,Onecut1,Neurog3,Activation,19487809,Eumetazoa,Eukaryota
3960,Onecut1,Neurog3,Unknown,10825208,Eumetazoa,Vertebrata
3961,Onecut1,Onecut3,Activation,15381696,Eumetazoa,Vertebrata
3962,Onecut1,Pdx1,Activation,12781686,Eumetazoa,Eumetazoa
3963,Onecut1,Slc2a2,Unknown,11915024,Eumetazoa,Eumetazoa
3964,Otx2,Crx,Unknown,16363664,Eumetazoa,
3965,Otx2,Fgf15,Unknown,12915315,Eumetazoa,Eumetazoa
3966,Otx2,Gnrh1,Activation,19401468,Vertebrata,Eumetazoa
3967,Otx2,Gnrh1,Unknown,22761896,Vertebrata,Eumetazoa
3968,Otx2,Nkx2-2,Repression,15105370,Vertebrata,Eumetazoa
3969,Otx2,Tyr,Activation,12663655,Vertebrata,Vertebrata
3970,Otx2,Tyrp1,Activation,12663655,Vertebrata,Euk+Bac
3971,Ovol1,Ovol2,Repression,17049212,Vertebrata,Eumetazoa
3972,Parp1,Apod,Unknown,20493910,Vertebrata,Vertebrata
3973,Parp1,E2f1,Activation,9649317,Opisthokonta,Vertebrata
3974,Parp1,E2f1,Unknown,10490838,Eukaryota,Vertebrata
3975,Parp1,Fn1,Activation,22223884,Eukaryota,Eumetazoa
3976,Parp1,Il10,Unknown,20181890,Eukaryota,Eumetazoa
3977,Parp1,Mmp9,Unknown,18468597,Eukaryota,Vertebrata
3978,Parp1,Nfkb1,Repression,11135624,Eukaryota,Eumetazoa
3979,Parp1,Nkx2-1,Activation,16461352,Eukaryota,Euk+Bac
3980,Parp1,Nos2,Activation,23357477,Eukaryota,Eukaryota
3981,Parp1,Rela,Unknown,25926428,Eukaryota,Eukaryota
3982,Parp1,Sh3bp2,Unknown,22820184,Eukaryota,Vertebrata
3983,Parp1,Vcam1,Unknown,25926428,Eukaryota,Vertebrata
3984,Pax1,Nkx3-2,Unknown,23851939,Eukaryota,Vertebrata
3985,Pax1,Pdgfra,Unknown,9826722,Eukaryota,Eumetazoa
3986,Pax2,Ccnd1,Activation,23135283,Eumetazoa,Eumetazoa
3987,Pax2,Emx2,Unknown,21731775,Eumetazoa,Euk+Bac
3988,Pax2,En2,Unknown,10640701;8625814,Eumetazoa,Eumetazoa
3989,Pax2,Eya1,Unknown,16916509,Eumetazoa,Eumetazoa
3990,Pax2,Gbx2,Repression,17166916,Eumetazoa,Eumetazoa
3991,Pax2,Gcg,Activation,11940591,Eumetazoa,Eumetazoa
3992,Pax2,Neurog2,Unknown,23515312,Eumetazoa,Vertebrata
3993,Pax2,Pax6,Repression,11003833,Eumetazoa,Vertebrata
3994,Pax2,Pou3f3,Unknown,15872005,Eumetazoa,Eumetazoa
3995,Pax2,Ret,Activation,17047028,Eumetazoa,Eumetazoa
3996,Pax2,Robo3,Activation,12200151,Eumetazoa,Eumetazoa
3997,Pax2,Sfrp2,Unknown,14561758,Eumetazoa,Vertebrata
3998,Pax2,Trp53,Repression,8521821,Eumetazoa,Vertebrata
3999,Pax2,Wt1,Activation,9336463,Eumetazoa,
4000,Pax2,Wt1,Unknown,9178767,Eumetazoa,
4001,Pax3,Dct,Activation,16857183,Eumetazoa,Eumetazoa
4002,Pax3,Dmrt2,Activation,20368965,Eumetazoa,Eumetazoa
4003,Pax3,Fgfr4,Unknown,18593883,Eumetazoa,Eumetazoa
4004,Pax3,Hes1,Unknown,18308300,Eumetazoa,Eumetazoa
4005,Pax3,Itm2a,Activation,23650549,Eumetazoa,Opisthokonta
4006,Pax3,Lbx2,Activation,17492753,Eumetazoa,Opisthokonta
4007,Pax3,Lef1,Unknown,20006729,Eumetazoa,Opisthokonta
4008,Pax3,Mbp,Repression,7546735,Eumetazoa,Eumetazoa
4009,Pax3,Met,Unknown,8633043;9464541,Eumetazoa,Eumetazoa
4010,Pax3,Mitf,Activation,10942418;15729346,Eumetazoa,Vertebrata
4011,Pax3,Msx2,Repression,18849531,Eumetazoa,Eumetazoa
4012,Pax3,Myf5,Activation,16951257;19022756;24036067,Eumetazoa,Eumetazoa
4013,Pax3,Myf5,Unknown,17301086,Eumetazoa,
4014,Pax3,Myod1,Activation,18854138,Eumetazoa,Eumetazoa
4015,Pax3,Myod1,Unknown,10529415;17275805,Eumetazoa,Vertebrata
4016,Pax3,Neurog2,Unknown,18308300,Eumetazoa,Eumetazoa
4017,Pax3,Pou3f2,Activation,22988297,Eumetazoa,Eumetazoa
4018,Pax3,Spry1,Unknown,18593883,Eumetazoa,Eumetazoa
4019,Pax3,St8sia2,Unknown,11590174,Eumetazoa,Eumetazoa
4020,Pax3,Tgfb2,Activation,16787918,Eumetazoa,Eumetazoa
4021,Pax3,Tyrp1,Activation,10480898,Eumetazoa,Eumetazoa
4022,Pax3,Wnt1,Unknown,18086577,Eumetazoa,Eumetazoa
4023,Pax4,Ins2,Unknown,10601637,Eumetazoa,
4024,Pax4,Mnx1,Activation,14729487,Eumetazoa,Eumetazoa
4025,Pax4,Pax6,Repression,10364449,Eumetazoa,Vertebrata
4026,Pax4,Pdx1,Activation,14729487,Eumetazoa,Vertebrata
4027,Pax5,Aicda,Activation,22956488,Eumetazoa,Eumetazoa
4028,Pax5,Blk,Activation,10455134;14594818,Eumetazoa,Vertebrata
4029,Pax5,Blk,Unknown,9660839,,Eumetazoa
4030,Pax5,Blnk,Unknown,12387741,,Vertebrata
4031,Pax5,Cd19,Unknown,17513763,,Eumetazoa
4032,Pax5,Cd72,Activation,9794407,,
4033,Pax5,Cd79a,Activation,12446773;12612069;15361869,,Vertebrata
4034,Pax5,Cd79a,Unknown,10022910,,Vertebrata
4035,Pax5,Csf1r,Repression,16482219,,Vertebrata
4036,Pax5,Ebf1,Activation,17101802,,Vertebrata
4037,Pax5,En2,Unknown,10640701;8625814,,Vertebrata
4038,Pax5,Flt3,Repression,16618805,,Mammalia
4039,Pax5,Igh,Repression,14993928,,Mammalia
4040,Pax5,Igk,Activation,15067064,,Mammalia
4041,Pax5,Igll1,Unknown,9079818,,Mammalia
4042,Pax5,Prdx6,Activation,18172866,,Vertebrata
4043,Pax6,Aldh3a1,Unknown,18436815,,Eumetazoa
4044,Pax6,Atoh7,Unknown,19208436,,Eumetazoa
4045,Pax6,Bcl9,Activation,25184676,,Vertebrata
4046,Pax6,Bcl9l,Activation,25184676,,
4047,Pax6,Cdk6,Repression,23622063,,Opisthokonta
4048,Pax6,Cdkn1b,Unknown,17157287,,Vertebrata
4049,Pax6,Cryaa,Unknown,16675956;21092858,,Cellular_organisms
4050,Pax6,Cryab,Activation,15522290;9651402,,Euk+Bac
4051,Pax6,Cryab,Unknown,12812528;15020706,,Vertebrata
4052,Pax6,Dkk3,Activation,25029272,,Vertebrata
4053,Pax6,Dkk3,Repression,22792072,,Vertebrata
4054,Pax6,Fgf15,Repression,22792072,,Eumetazoa
4055,Pax6,G6pc2,Unknown,15180990;18753309,,Eumetazoa
4056,Pax6,Gcg,Activation,10478839,,Vertebrata
4057,Pax6,Gck,Unknown,12426319,,Eumetazoa
4058,Pax6,Hoxd4,Activation,17010333,,Eumetazoa
4059,Pax6,Mab21l2,Unknown,19132093,,Vertebrata
4060,Pax6,Maf,Activation,14521912,,Vertebrata
4061,Pax6,Mafa,Activation,20584984,,Vertebrata
4062,Pax6,Met,Activation,19651775,,Eumetazoa
4063,Pax6,Mmp9,Activation,10885745,,Vertebrata
4064,Pax6,Neurog1,Activation,22077982,,Euk+Bac
4065,Pax6,Neurog2,Unknown,22077982;23515312,,Vertebrata
