From	To
A0A0A0MQ97	Nccrp1
A0A0A0MQC1	Ighv3-5
A0A0A0MQF7	1700025G04Rik
A0A0B4J1F6	BC053393
A0A0B4J1F8	Smim10l2a
A0A0B4J1F9	Tchh
A0A0B4J1G0	Fcgr4
A0A0B4J1G4	Il17d
A0A0B4J1I6	Igkv4-69
A0A504	Smim17
A0AUN4	Hcfc2
A0AUV4	Gm7168
A0JLN1	Srp72
A0JLX4	Ceacam15
A0JLY1	Ccdc173
A0JNT9	Bicdl1
A0JNU3	Aspg
A0JP43	Efcab5
A0JP54	Chil5
A0N3V1	Ighv3-5
A0PJN4	Ube2ql1
A0PK51	Gm11562
A0PK55	Olfr239
A0PK57	Olfr1436
A0PK84	Zdhhc22
A0ZV96	Oscp1
A1A535	Veph1
A1A546	Isx
A1A547	Pglyrp3
A1A549	Tcf7l1
A1A5B6	Tbc1d25
A1E960	Odam
A1EGX6	Fscb
A1IGU4	Arhgef37
A1KXC4	Fcmr
A1L0T3	Ssc4d
A1L0V8	4933403O08Rik
A1L1B4	Olfr282
A1L314	Mpeg1
A1L317	Krt24
A1L349	Papolb
A1L358	Mzf1
A1L3C1	Fam71e1
A1L3C2	Polr1c
A1L3P4	Slc9a6
A1Y9I9	Tomt
A1YIY0	Fcrl6
A1Z198	Nlrp1b
A2A259	Pkd2l1
A2A432	Cul4b
A2A473	Tox2
A2A484	Zmynd8
A2A4F1	Rhox7a
A2A4L9	Gm11564
A2A4M0	2300003K06Rik
A2A4M2	Gm11568
A2A4M7	Gm11565
A2A4Q0	Rpl27
A2A4U6	Zfp334
A2A517	Cyth1
A2A559	Pgap3
A2A588	Krtap1-3
A2A590	Krtap1-5
A2A591	Krtap3-1
A2A5E6	Znf385c
A2A5F7	Kcnh4
A2A5H7	Wfdc11
A2A5I3	R3hdml
A2A5N8	L3mbtl1
A2A5R2	Arfgef2
A2A5R6	Znfx1
A2A5X3	Krtap9-5
A2A5X5	Krtap16-1
A2A5X6	Krtap17-1
A2A5Y4	Kansl1
A2A5Y6	Mapt
A2A5Z6	Smurf2
A2A654	Bptf
A2A690	Tanc2
A2A699	Fam171a2
A2A6A1	Gpatch8
A2A6C4	Sppl2c
A2A6H3	Fbxo47
A2A6M5	Calcoco2
A2A6Q5	Cdc27
A2A6T1	Cdr2l
A2A761	Zfp69
A2A791	Zmym4
A2A799	Zfp979
A2A7A2	Zfp984
A2A7A5	Zfp985
A2A7A7	H6pd
A2A7B5	Prdm2
A2A7F4	Rlf
A2A7F6	Clcn6
A2A7F7	Mthfr
A2A7K5	Mycbp
A2A7P7	Ermap
A2A7Q5	P3h1
A2A7Q9	Rnf19b
A2A7S7	Yars
A2A7S8	Kiaa1522
A2A7V7	Cd300c
A2A7W0	Cd300ld2
A2A7W1	Cd300ld4
A2A7Y5	Miip
A2A7Z6	Rab3b
A2A7Z8	Aadacl3
A2A825	Cplane2
A2A841	Epb41
A2A863	Itgb4
A2A870	Fbf1
A2A884	Hivep3
A2A891	Camta1
A2A8L1	Chd5
A2A8L5	Ptprf
A2A8N0	Pramel26
A2A8N2	Pramel25
A2A8Q4	Zfp982
A2A8R7	Tut4
A2A8U2	Tmem201
A2A8Z1	Osbpl9
A2A933	Prdm16
A2A974	Cyp4a12b
A2A987	Nipal3
A2A992	Ncmap
A2A995	Fyb2
A2A9A2	Dmrta2
A2A9B9	Sec14l1
A2A9C3	Szt2
A2A9D4	Mpl
A2A9F4	Kdf1
A2A9G7	Shisal2a
A2A9H6	Gm884
A2A9I7	Dmrtb1
A2A9J5	Zfp980
A2A9K7	Cnksr1
A2A9L3	Pdik1l
A2A9L4	Trim63
A2A9T0	Tbkbp1
A2A9V9	Kctd2
A2AA28	Mettl23
A2AA35	Guca2b
A2AAE1	Kiaa1109
A2AAJ9	Obscn
A2AAX3	Klhl15
A2AAY5	Sh3pxd2b
A2AB59	Arhgap27
A2ABG4	Tbc1d16
A2ABU4	Myom3
A2ABV5	Med14
A2AC19	Suv39h1
A2AC93	Dnai2
A2ACP1	Ttc39a
A2ACT7	Col9a3
A2ACV6	Soga1
A2ACY7	Olfr1338
A2ACY8	Olfr1337
A2ADA5	Pusl1
A2ADB2	Fam131c
A2ADF7	Slc25a34
A2ADH1	Magt1
A2ADM8	Zfp831
A2ADY9	Ddi2
A2ADZ8	Iqcc
A2AE27	Ampd2
A2AE38	Amigo1
