From	To
A2AE42	Cyb561d1
A2AED3	Fndc7
A2AEG2	Ofd1
A2AEI7	Tcp11x2
A2AEM2	Clcc1
A2AEP0	Obp1b
A2AEU1	Mcf2
A2AEV7	Ccdc120
A2AEW0	Tfe3
A2AEX8	Fhl1
A2AEY4	Map7d3
A2AF28	Slc25a53
A2AF31	Tmsb15b2
A2AF33	Tmsb15b1
A2AFK4	Mtg2
A2AFM4	Apex2
A2AFR3	Frmpd4
A2AFS3	Elapor1
A2AG06	Meioc
A2AG30	Dnajb5
A2AG50	Map7d2
A2AG55	Bclaf3
A2AGA4	Rhbdl2
A2AGB2	Gm12695
A2AGD7	Ccdc163
A2AGL3	Ryr3
A2AGQ4	Madd
A2AGT5	Ckap5
A2AGX3	Prdm11
A2AH22	Ambra1
A2AHA7	Pramel3
A2AHB8	Kcnt1
A2AHC3	Camsap1
A2AHG0	Lzts3
A2AHG2	Phf21a
A2AHG6	Large2
A2AHL1	Ano3
A2AHM0	Mageb2
A2AHM8	Olfr1320
A2AHT3	Kcnip3
A2AHY8	Dcaf8l
A2AI05	Ndor1
A2AI08	Tprn
A2AI21	Grin1
A2AI52	Usp8
A2AI62	Heph
A2AI93	Dmrtc1b
A2AIE6	Xlr5c
A2AIE7	Zfp275
A2AIG8	Accs
A2AII2	Bdnf
A2AIL4	Ndufaf6
A2AIP0	Fam166b
A2AIR5	Grin3a
A2AIR7	Cacna1b
A2AIV2	Virma
A2AIV8	Card9
A2AIW0	Entr1
A2AIY3	Insl5
A2AJ15	Man1b1
A2AJ21	Npdc1
A2AJ88	Pnpla7
A2AJA9	Ajm1
A2AJB1	Ccdc183
A2AJB2	Tmem141
A2AJB7	Lcn5
A2AJB9	Lcn6
A2AJD1	Bpifb9b
A2AJI0	Map7d1
A2AJK6	Chd7
A2AJL3	Fggy
A2AJN7	Slc4a11
A2AJP5	Tmem67
A2AJQ3	Dpy19l4
A2AJT5	Pnisr
A2AJX0	Klhl32
A2AK42	Gm13697
A2AK44	Gm13695
A2AK60	Olfr1076
A2AK62	Olfr1066
A2AKB4	Frmpd1
A2AKB9	Dcaf10
A2AKE5	1700003F12Rik
A2AKE7	Actl10
A2AKG8	Focad
A2AKH9	Stard9
A2AKK5	Acnat1
A2AKM2	Hacd4
A2AKQ0	Slc35d1
A2AKQ8	Ttc30a2
A2AKV6	Alkbh3
A2AKW0	Slc25a51
A2AKX3	Setx
A2AKY4	Znf804a
A2AL36	Cntrl
A2AL50	Agps
A2ALD2	Olfr1006
A2ALD8	Lhx3
A2ALK6	Epb41l4b
A2ALK8	Ptpn3
A2ALL3	Rnf186
A2ALS5	Rap1gap
A2ALV3	Sh3gl2
A2AM05	Cntln
A2AM29	Mllt3
A2AM35	Olfr267
A2AM37	Sox3
A2AM80	Fam43b
A2AMD0	Gm12666
A2AMH4	Slc44a1
A2AML7	Zfp352
A2AMM0	Cavin4
A2AMS7	Ccl27a
A2AMT1	Bfsp1
A2AMT6	Vmn1r2
A2AMT7	Vmn1r3
A2AMZ4	Ndufaf8
A2AN08	Ubr4
A2AN37	Uck1
A2ANA3	Cldn34c4
A2ANP1	Fam219a
A2ANQ2	Adra1d
A2ANU3	Syndig1
A2ANU6	Gm14139
A2ANU7	Zfp937
A2ANX3	Atp8b4
A2ANY6	Mdn1
A2AP18	Plch2
A2AP83	Fnd3c2
A2APB8	Tpx2
A2APC3	Ttll9
A2APF4	Pmepa1
A2API8	Pakap
A2APM2	Cd44
A2APR8	Bub1
A2APS1	Nphp1
A2APT9	Klhdc7a
A2APU8	Fam205a2
A2APU8	Fam205a3
A2APU8	Fam205a4
A2APU9	Gm21586
A2APV2	Fmnl2
A2APX8	Scn1a
A2APY7	Ndufaf5
A2APZ1	1700001O22Rik
A2AQ14	Oip5
A2AQ25	Skt
A2AQ53	Fbn1
A2AQ92	Duox1
A2AQ99	Duox2
A2AQA0	Zfp442
A2AQA1	Zfp345
A2AQA9	Neb
A2AQE2	Secisbp2l
A2AQG6	Spdye4c
A2AQH1	Cerkl
A2AQH3	Hipk3
A2AQJ6	Tmem87a
A2AQJ8	Ganc
A2AQR0	Gpd2
A2AQU8	Srxn1
A2AQX6	Gm14151
A2AR02	Ppig
A2AR50	Ralgps1
A2AR95	Ldlrad3
A2ARA8	Itga8
A2ARD6	Kynu
A2ARI4	Lgr4
A2ARJ3	Tmem236
A2ARK0	Fam83c
A2ARK7	Samt3
A2ARM1	Patl2
A2ARP1	Ppip5k1
A2ARP8	Map1a
A2ARP9	Catsper2
A2ARS0	Ankrd63
A2ART0	Gm6710
A2ART1	Zfp967
A2ART8	Tgm7
A2ARV4	Lrp2
A2ARV8	2210418O10Rik
A2ARX1	Gm14391
A2ARY0	Olfr1039
A2ARY1	Olfr1040
A2ARZ0	Olfr1049
A2ARZ3	Fsip2
A2AS37	AI182371
A2AS55	Ankrd16
A2AS89	Agmat
A2AS98	Nckap1
A2ASA8	Itpripl1
A2ASI5	Scn3a
A2ASJ0	Pramel28
A2ASJ3	Gm13102
A2ASM7	Hoxd11
A2ASP7	9430015G10Rik
A2ASQ1	Agrn
A2ASS6	Ttn
A2ASU7	Olfr1024
A2ASV2	Olfr1016
A2ASV3	Olfr1018
A2ASZ8	Slc25a25
A2AT37	Upf2
A2AT78	Olfr1247
A2AT85	Olfr1123
A2AT86	Olfr1124
A2AT96	Olfr1109
A2ATA0	Olfr1112
A2ATD1	Ism1
A2ATE0	Olfr1029
A2ATE3	Olfr1032
A2ATE5	Olfr1032
A2ATG2	Olfr1213
A2ATG3	Olfr1214
A2ATJ2	Nup35
A2ATJ4	Olfr1200
A2ATJ7	Olfr1205
A2ATJ9	Olfr1206
A2ATN4	Fam78a
A2ATS6	Rtn4rl2
A2ATU0	Dhtkd1
A2ATU9	Hat1
A2ATW2	Olfr1565
A2AU08	Rtel1
A2AU37	Rad21l1
A2AU72	Armc3
A2AU83	Gm14124
A2AU91	Tp53bp1
A2AUA2	Olfr1253
A2AUA4	Olfr1255
A2AUC9	Klhl41
A2AUQ8	4930402F06Rik
A2AUS6	Olfr1179
A2AUU0	Mettl8
A2AUY4	Baz2b
A2AV10	Olfr1188
A2AV11	Olfr1189
A2AV13	Olfr1193
A2AV41	Olfr1129
A2AV42	Olfr1145
A2AV72	Mup6
A2AV75	Bmf
A2AVA0	Svep1
A2AVA9	Olfr1097
A2AVB0	Olfr1098
A2AVB5	Olfr1104
A2AVB8	Olfr1107
A2AVC0	Olfr1153
A2AVC3	Olfr1156
A2AVC4	Olfr1157
A2AVC7	Olfr1145
A2AVJ5	Prr5l
A2AVK5	Olfr1234
A2AVL6	Olfr1314
A2AVQ5	Lexm
A2AVT0	Olfr1160
A2AVT5	Olfr1164
A2AVW1	Olfr1303
A2AVW3	Olfr1305
A2AVX9	Olfr1055
A2AVY0	Olfr1056
A2AVZ9	Slc43a3
A2AW15	Ttbk2
A2AW86	Ly75
A2AWA9	Rabgap1
A2AWF9	Ptprj
A2AWL1	Gm7903
A2AWL7	Mga
A2AWP8	Arhgef10l
A2AWR3	Gpr155
A2AWR5	Slc28a2b
A2AWT3	Atxn7l3
A2AX52	Col6a4
A2BDX0	Adnp
A2BDX4	Kcng1
A2BDY3	Foxd3
A2BE23	Gm14305
A2BE28	Las1l
A2BE91	Dync2i2
A2BED8	Samt1
A2BEE3	Samt1d
A2BEI5	Gm11758
A2BEI6	Gm11758
A2BEI8	Gm11757
A2BFE8	Prrg1
A2BFL2	Zyg11a
A2BFL7	Olfr1306
A2BFZ7	Btbd35f11
A2BGH0	Bpifb4
A2BGJ5	Zmynd12
A2BH40	Arid1a
A2BHP3	Lmo2
A2BHP6	Olfr74
A2BHP7	Olfr1158
A2BHR0	Obp2b
A2BHR2	Lcn11
A2BI14	Ccdc171
A2BI30	RP24-297H17.3
A2BI37	Zfp185
A2BI45	Xlr5a
A2BI72	Gm15093
A2BI74	Ssxb6
A2BI80	Ebf4
A2BI93	Ssxb9
A2CE44	Zxdb
A2CEE7	Rps6ka6
A2CG49	Kalrn
A2CG63	Arid4b
A2CG71	Btbd35f20
A2CGA5	Birc3
A2CI98	Dytn
A2KFE9	Igkv4-70
A2RRY8	Spats1
A2RRY9	4930595M18Rik
A2RS33	Olfr601
A2RS43	Pcdh7
A2RSF1	Commd1
A2RSF9	Serpinb3c
A2RSG8	Adam34
A2RSJ4	Uhrf1bp1l
A2RSL0	Tmprss5
A2RSL7	4931406B18Rik
A2RSQ0	Dennd5b
A2RSQ1	Glb1l3
A2RSS2	Chst10
A2RST1	Mgst2
A2RST7	Vmn1r9
A2RSX4	Stpg3
A2RSX7	Tyw5
A2RSX9	Arfip1
A2RSY1	Kansl3
A2RSY6	Trmt1l
A2RT18	Tex16
A2RT31	Olfr110
A2RT60	Htra4
A2RT62	Fbxl16
A2RT67	Dennd3
A2RT81	Rnf39
A2RT91	Ankar
A2RTE4	Ciart
A2RTF1	Catsperb
A2RTH5	Lcmt1
A2RTL5	Rsrc2
A2RTN7	Olfr727
A2RTP5	Olfr742
A2RTS7	Morn1
A2RTS9	Gal3st2
A2RTT5	Vmn1r232
A2RTU1	Gsc2
A2RTV1	Serpina3h
A2TJV2	Palm3
A3EWM2	Dnmt3l
A3FIN4	Atp8b5
A3KFM7	Chd6
A3KFU9	Disp3
A3KG59	Pm20d2
A3KGF7	Plcb2
A3KGF9	Ccdc9b
A3KGI3	Knl1
A3KGJ9	6430550D23Rik
A3KGS3	Ralgapa2
A3KGV1	Odf2
A3KGW5	Cercam
A3KGY4	Olfr1224-ps1
A3KGY9	Olfr1229
A3KML3	Ywhaq
A3KMN2	Ercc6
A3KMN5	Prr16
A3KMP2	Ttc38
A3KN63	4933402N22Rik
A3KN90	Nr3c2
A3KPP5	Olfr1095
A3RLD5	Crygc
A4FU93	Olfr1511
A4FUP9	Glt1d1
A4FUQ5	Fpr-rs4
A4GZ26	Iqsec2
A4PI81	Cadps2
A4Q9E4	Ttll2
A4Q9E5	Ttll3
A4Q9E8	Ttll6
A4Q9F1	Ttll8
A4Q9F3	Ttll10
A4Q9F4	Ttll11
A4QPC5	Cma1
A4QPD3	Rel
A4UHF3	Ido2
A4UUI3	Gbp4
A4VCH8	Fbxl18
A5CVE1	Orai2
A5H0M4	Poteg
A5HLW1	Pcf11
A6BLY7	Krt28
A6H584	Col6a5
A6H5V4	Mesp2
A6H5X4	Phf11
A6H5Y1	Mphosph9
A6H5Y3	Mtr
A6H5Z6	Chrd
A6H603	Nwd1
A6H611	Mipep
A6H619	Phrf1
A6H630	Armt1
A6H634	Gm266
A6H639	Tcte1
A6H644	Ppp1r12b
A6H650	Rasgef1a
A6H656	Odf1
A6H657	Rhox3f
A6H659	Pag1
A6H666	Cox8c
A6H684	Mgat4e
A6H687	Sac3d1
A6H690	Iqca1l
A6H694	Lrrc63
A6H6A1	Adgrg5
A6H6A5	Pgr
A6H6A9	Rabgap1l
A6H6E2	Mmrn2
A6H6E9	Ttc23l
A6H6J2	Cyp2b13
A6H6J9	Ankrd50
A6H6S0	Herc3
A6H6T1	Prss40
A6H6T7	Daw1
A6H8H5	Kcnb2
A6NAS3	Gm3173
A6NAS4	Gm10406
A6NAT4	Gm3752
A6NAT7	Gm3739
A6NAT8	Gm3317
A6NAU0	Gm3264
A6NAU1	Gm2237
A6NAU2	Gm3696
A6NAU3	Lamtor3-ps
A6NAV4	Gm3636
A6PWD2	Fhad1
A6PWV5	Arid3c
A6PWY4	Wdr76
A6X8I0	Gm1993
A6X8J1	Gm16405
A6X8Z5	Arhgap31
A6X919	Dpy19l1
A6X942	Sh2d4b
A6ZI47	Aldoart2
A7DTG3	Sertad4
A7E1W8	Siglec15
A7E1Z1	Tmem215
A7KBS4	Zscan4d
A7L9Z8	Atp2c2
A7M7C7	Skor2
A7MAW9	Gm4553
A7MCT6	Etnk2
A7RDN6	Rnls
A7TU71	Shroom2
A7TZE6	Skint1
A7TZF0	Skint3
A7TZF3	Skint4
A7TZG3	Skint9
A7UAK5	Pfkfb3
A7VMS2	Gm11127
A7VMS3	H2-M5
A7VMS6	Gm8909
A7XUX6	Skint2
A7XUY5	Skint5
A7XUZ6	Skint6
A7XV07	Skint8
A7XV14	Skint11
A7YQ68	Prickle2
A8C756	Thada
A8E0Y8	Cd101
A8IK50	Pcp2
A8R0T9	Gm44501
A8R0U0	Esp6
A8R0U1	Esp8
A9C444	Ccdc191
A9C474	A630010A05Rik
A9C496	Mup9
A9JSM3	Tmem238
A9Q751	Cfap221
A9Q7H1	9830107B12Rik
A9R9W0	Mup15
A9X426	Zfp384
A9XX86	Mgl2
A9YVJ5	Gbp11
A9Z055	H2al2c
A9Z1V5	Vwa5b1
B0QZF6	Proca1
B0QZP6	Tmc8
B0QZW1	Gria3
B0R0C1	Myt1
B0V2M3	Znf318
B0V2N1	Ptprs
B0V2W4	Zfp952
B0V2W5	Zfp472
B1APN4	Rhox1
B1APX2	5031439G07Rik
B1AQ75	Krt36
B1AQ77	Krt15
B1AQ85	Krtap4-2
B1AQ89	Gm11555
B1AQ90	Gm11563
B1AQA7	Gm11595
B1AQA8	Krtap4-8
B1AQA9	Krtap4-9
B1AQB0	Gm11596
B1AQB1	Gm11569
B1AQB2	Gm11554
B1AQF4	Dusp3
B1AQJ2	Usp36
B1AQL3	Tmem235
B1AQP7	Apol7b
B1AQY2	Arhgap23
B1AR10	Mllt6
B1AR13	Cisd3
B1AR17	Chd3
B1AR51	Dnah9
B1AR69	Myh13
B1AR74	Bcas3
B1ARB3	Pecam1
B1ARD6	Slfn9
B1ARD8	Slfn8
B1ARJ9	Cd79b
B1ARL3	Olfr59
B1ART2	Vps13d
B1ARU4	Macf1
B1ARU8	Olfr1330
B1ARV2	Olfr1328
B1ARV3	Lao1
B1ARV5	Pramel31
B1AS17	Mmel1
B1AS29	Grik3
B1AS42	Cyb5rl
B1ASA5	Zfp362
B1ASB3	Aadacl4fm5
B1ASD8	Zfp992
B1ASE2	Atp5h
B1ASJ2	B4galt2
B1ASK8	Ube2j2
B1ASQ2	Apoo
B1AST7	Mast2
B1ASU0	Il1rapl1
B1ASW6	Trappc1
B1AT32	Ino80d
B1AT59	Amz2
B1AT66	Slc16a6
B1AT82	Prpsap1
B1ATC3	Tnrc6c
B1ATG3	Zfp354a
B1ATG9	Trabd2b
B1ATI0	Aldh3a2
B1ATJ5	Krt32
B1ATT4	Rab40b
B1ATU4	Gps1
B1ATU5	Dus1l
B1ATV3	Trpc3
B1ATX6	Tent5d
B1ATY8	Arl16
B1AU43	Cdkl3
B1AUC4	Ube2u
B1AUE5	Pex10
B1AUF1	Ski
B1AUH1	Ptpru
B1AUN2	Eif2b3
B1AUR6	Mms22l
B1AUS6	Slc25a54
B1AUS7	Ssxa1
B1AUV4	Pramel18
B1AUV7	Gm12789
B1AV75	2610301B20Rik
B1AVB4	Scml2
B1AVD1	Xpnpep2
B1AVH7	Tbc1d2
B1AVK0	Fam161a
B1AVK5	Col4a6
B1AVM1	Gm12887
B1AVU5	Aadacl4
B1AVU6	Aadacl4fm4
B1AVU7	AAdacl4fm3
B1AVY7	Kif16b
B1AVZ0	Uprt
B1AVZ5	Gm15127
B1AWC9	Pde4b
B1AWD9	Clta
B1AWG4	Lrrc37a
B1AWI6	Msmp
B1AWJ5	Tmem8b
B1AWL2	Znf462
B1AWN4	Atp10b
B1AWN6	Scn2a
B1AWN8	Cylc2
B1AWN9	Tnfrsf25
B1AWS8	Tek
B1AWT2	Rragd
B1AX34	Dmrtc1a
B1AX39	Zcchc7
B1AX85	6030498E09Rik
B1AX98	Lrrc47
B1AXD8	Akirin2
B1AXH8	Runx1t1
B1AXN3	Gm382
B1AXP3	Saxo1
B1AXP6	Tomm5
B1AXU1	Gm6812
B1AXZ5	Elavl2
B1AY10	Nfx1
B1AY13	Usp24
B1AYH9	Gm13271
B1AYI3	Gm13287
B1AYI8	Gm13275
B1AYL1	Scn7a
B1AYM9	CK137956
B1AYN9	Tex28
B1AZ99	Otud3
B1AZF3	Aatk
B1AZI6	Thoc2
B1AZP2	Dlgap4
B1AZR0	Klhl4
B1AZR7	Pcdh11x
B1B034	Gm15155
B1B0C7	Hspg2
B1B0C9	Nrk
B1B0E8	Zrsr2
B1B0N6	Scgb1b24
B1B0R1	Gm2012
B1B0R5	Xlr4b
B1B1A8	Mylk
B1B1D3	Zfp40
B1B212	H60b
B1B213	H60c
B1GX81	Pak3
B2B9E1	Triqk
B2C3G8	Stat5a
B2KF05	Brpf3
B2KF25	Tcp11
B2KFW1	Zscan20
B2KG20	Klri1
B2KGE5	Fam229a
B2M0R7	EU599041
B2M0S5	Dnaaf2
B2MVU6	Aire
B2RPY5	Gpr161
B2RPZ5	Hectd2
B2RQ80	Tnik
B2RQ99	6820408C15Rik
B2RQA1	Kcna10
B2RQC2	Usp42
B2RQC6	Cad
B2RQC7	Dip2b
B2RQE8	Arhgap42
B2RQF0	Slc35g3
B2RQG2	Phf3
B2RQL1	Ccdc158
B2RQR2	Mpdz
B2RQT2	Vmn1r5
B2RQY6	BC035947
B2RR19	Wdr66
B2RR23	Bean1
B2RR24	Zfp236
B2RR82	Itsn2
B2RR83	Ythdc2
B2RR87	Ttll7
B2RR88	Zfp964
B2RRA7	Acp7
B2RRA8	Zfp114
B2RRE4	Znf518b
B2RRE7	Otud4
B2RRF3	Suco
B2RRF6	Znf518a
B2RRL2	Jrkl
B2RRQ1	Asic2
B2RRX1	Actb
B2RS44	Dbf4
B2RS76	Cpb1
B2RS82	Chit1
B2RS91	Rrn3
B2RSG7	Psg18
B2RSH2	Gnai1
B2RSR7	Gpd1l
B2RSU7	Gcc2
B2RSY5	Adam6a
B2RT02	Bspry
B2RT14	Ugt1a5
B2RT16	Lpcat2b
B2RT33	Olfr102
B2RT41	Zfc3h1
B2RT44	Lonrf2
B2RT54	Apol7a
B2RT89	Slc22a28
B2RTN2	Igsf23
B2RTN3	Zscan5b
B2RU69	Cuzd1
B2RU80	Ptprb
B2RUD9	Gm4787
B2RUG8	Asxl2
B2RUH8	Dzank1
B2RUI1	Znf551
B2RUK2	Erbin
B2RUK9	Zfp456
B2RUM3	AU015836
B2RUP0	Rbm34
B2RUP2	Unc13d
B2RUQ2	Usf3
B2RUR4	Kprp
B2RUR8	Otud7b
B2RUS7	Abcc8
B2RV38	Rd3l
B2RV46	Spata6l
B2RV77	Cstdc4
B2RVB9	Tmem243
B2RVE2	Rergl
B2RVL1	Kcnk15
B2RVL6	Zcchc24
B2RVL9	Mdfic2
B2RVW2	Clrn2
B2RVX8	Olfr221
B2RVY8	Olfr1335
B2RVY9	Tmem182
B2RVZ0	Klk12
B2RVZ1	Olfr310
B2RW07	Atxn7l1
B2RW11	Ankrd34a
B2RW27	1700018F24Rik
B2RW38	Cfap58
B2RW88	Prr19
B2RW93	Catspere2
B2RWC4	Lrrc73
B2RWC6	Coq10a
B2RWD2	Aadacl2
B2RWF7	Ppil6
B2RWG3	Siah3
B2RWJ3	Tmem240
B2RWK3	Unc93a2
B2RWR6	Gm10352
B2RWS6	Ep300
B2RWW0	Tagap
B2RX31	Zscan25
B2RX47	4930433I11Rik
B2RX56	Gm14137
B2RX70	Cped1
B2RX82	Chrna10
B2RX88	Cspp1
B2RXA7	Cyp26c1
B2RXA8	Gabrr3
B2RXB0	Fam71f2
B2RXB2	Hsbp1l1
B2RXC1	Trappc11
B2RXC5	Znf382
B2RXC6	Polr3a
B2RXC8	Ppp2r3a
B2RXE2	Slc9a5
B2RXM2	Gm6793
B2RXM4	Ntmt2
B2RXM5	Sec14l5
B2RXM6	Ly6g6f
B2RXR6	Ankrd44
B2RXS3	Scaper
B2RXS4	Plxnb2
B2RXT3	Ogdhl
B2RXV4	Flvcr1
B2RXW1	Hal
B2RXW6	Hs3st5
B2RXX0	Nek1
B2RXZ1	Pnldc1
B2RXZ2	Cyp2a22
B2RY04	Dock5
B2RY44	EG667568
B2RY50	Odad2
B2RY52	Gm4302
B2RY53	Gm6133
B2RY56	Rbm25
B2RY71	Dnai3
B2RY83	Hpse2
B2RZI1	Srsx
B3F5L4	Scart2
B3GLJ3	Pate3
B3GLJ4	Pate8
B3GLJ6	Pate11
B4XVP9	Phf11c
B4XVQ1	Phf11b
B5KM66	Syce3
B5TE76	Mup17
B5THE2	Mgam
B5TVM2	Ildr2
B5X0E4	Abcb5
B5X0G2	Mup17
B6A8R8	Tarm1
B6CI26	Slc25a21
B7FAT8	Gprc5c
B7XG49	Fam71a
B7ZBV9	Kcnq2
B7ZC54	Apol6
B7ZCD5	Cfap61
B7ZCJ1	Arhgap21
B7ZCM8	Pla2g4b
B7ZD65	Il9r
B7ZMQ6	Siglech
B7ZMV2	2810459M11Rik
B7ZMW1	Lmntd2
B7ZMY3	Klhl33
B7ZMZ4	Pglyrp4
B7ZMZ7	Dip2c
B7ZN39	Tmem52
B7ZN52	Lmo7
B7ZN59	Tmem132e
B7ZN70	Vsig1
B7ZNG4	Troap
B7ZNH1	Nos1ap
B7ZNH2	Gfi1b
B7ZNJ7	Tdrp
B7ZNJ8	Rhbdd3
B7ZNM7	Septin5
B7ZNQ4	Kncn
B7ZNV8	Ankrd42
B7ZNX8	Cep128
B7ZNY3	Pard3
B7ZNY6	Gm5134
B7ZP15	Clec2i
B7ZP19	Milr1
B7ZP37	Lca5l
B7ZP57	Cbfa2t3
B7ZWD6	Cym
B7ZWI9	Mageb4
B7ZWJ3	Gm8765
B7ZWJ5	Tmem45a2
B7ZWJ6	Fam71f1
B7ZWJ7	Dennd4a
B7ZWL5	Nbeal2
B8JJ69	2310061I04Rik
B8JJC1	Tdp1
B8JJX8	Zfp738
B8JJZ4	Zfp808
B8JJZ7	Zfp81
B8JK39	Itga9
B8JKK2	Rpl15
B8QI33	Ppfia1
B8QI36	Ppfia4
B8XCJ6	Unc80
B8ZXI1	Qtrt2
B9EHC7	Casq2
B9EHE6	Olfr652
B9EHE8	R3hdm1
B9EHG2	Olfr1496
B9EHI3	1700006A11Rik
B9EHK4	Cyp2ab1
B9EHK8	Hoxa1
B9EHK9	Hacd1
B9EHN5	Slc2a9
B9EHN9	Zc3h13
B9EHT4	Clip3
B9EI38	Reps2
B9EI95	Fndc4
B9EIE8	Lyrm7
B9EIY6	Orm3
B9EIZ0	Gab3
B9EJ16	Myocd
B9EJ22	Pms2
B9EJ32	Cdhr2
B9EJ57	Mterf1b
B9EJ60	Btn2a2
B9EJ80	Pdzd8
B9EJ82	Zfp974
B9EJ86	Osbpl8
B9EJA2	Cttnbp2
B9EJL3	S100z
B9EJP6	Lce1f
B9EJP9	Spink14
B9EJV3	Greb1l
B9EJW5	Zfp174
B9EJX2	Nhs
B9EK06	EXOC1L
B9EK86	Vmn1r180
B9EKE5	Catip
B9EKF4	Zfp777
B9EKG2	Mroh5
B9EKH0	Gpr141b
B9EKI3	Tmf1
B9EKK6	Nxpe3
B9EKP8	Sorbs2
B9EKR1	Ptprz1
B9EKS7	Pgs1
B9EKX1	Ptchd4
B9EKY2	Fbrsl1
B9UIU9	Gm17660
C0LLJ0	Kpna7
C3VPR6	Nlrc5
C4IXT3	Usp27x
C4P6S0	Nsun4
C5NTX9	Neu4
C6KI89	Catsperg2
C7G3P2	Prpf4b
D0ENM2	Scn5a
D0QMC3	Mndal
D0VY58	Psg16
D2D553	Fam183b
D2EAC2	Zbed6
D2J0Y4	D7Ertd443e
D2XZ31	Scgb1b29
D2XZ33	Scgb1b3
