From	To
P25364	HCM1
P25365	SED4
P25366	OCA4
P25367	RNQ1
P25368	RRP7
P25369	LSB5
P25370	GFD2
P25371	ADP1
P25372	TRX3
P25373	GRX1
P25374	NFS1
P25375	PRD1
P25376	AGP1
P25377	ADH7
P25378	RHB1
P25379	CHA1
P25380	SPS22
P25381	RRT12
P25382	RSA4
P25383	TY2A-C
P25384	TY2B-C
P25385	BOS1
P25386	USO1
P25389	KCC4
P25390	SSK22
P25441	RPC53
P25443	RPS2
P25451	PUP3
P25453	DMC1
P25454	RAD51
P25491	YDJ1
P25502	PUT3
P25515	VMA3
P25554	SGF29
P25555	GBP2
P25558	BUD3
P25559	DCC1
P25560	RER1
P25565	YCL002C
P25566	MXR2
P25567	SRO9
P25568	ATG22
P25569	GID7
P25573	MGR1
P25574	EMC1
P25576	POF1
P25578	PGS1
P25580	PBN1
P25582	SPB1
P25583	KAR4
P25586	KRR1
P25588	MRC1
P25593	YCL068C
P25594	VBA3
P25596	GEX1
P25604	STP22
P25605	ILV6
P25606	YCR100C
P25607	YCR101C
P25608	YCR102C
P25610	PAU3
P25611	RDS1
P25612	AAD3
P25613	ADY2
P25615	POL4
P25616	CTO1
P25617	YCR016W
P25618	CWH43
P25619	HSP30
P25621	FEN2
P25623	SYP1
P25625	PER1
P25626	IMG1
P25627	BUD23
P25628	ARE1
P25631	YCR051W
P25632	RSC6
P25635	PWP2
P25637	YIH1
P25638	TAH1
P25639	YCR061W
P25641	ATG15
P25642	IMG2
P25644	PAT1
P25646	PTC6
P25648	SRB8
P25651	CSM1
P25653	FIG2
P25654	YCR090C
P25655	CDC39
P25656	CDC50
P25657	YCR099C
P25659	FUB1
P25693	PCL2
P25694	CDC48
P25719	CPR3
P25808	SPB4
P25846	MSH1
P25847	MSH2
P26188	MGT1
P26263	PDC6
P26309	CDC20
P26321	RPL5
P26343	DAL80
P26364	ADK2
P26370	UGA3
P26448	BUB2
P26449	BUB3
P26570	PPZ1
P26637	CDC60
P26725	YUR1
P26754	RFA2
P26783	RPS5
P26784	RPL16A
P26785	RPL16B
P26786	RPS7A
P26793	RAD27
P27344	DPB3
P27351	APL1
P27466	CMK1
P27472	GSY2
P27476	NSR1
P27514	PHO91
P27515	URK1
P27614	CPS1
P27616	ADE1
P27636	CDC15
P27637	BUD14
P27654	TIP1
P27680	COQ3
P27692	SPT5
P27697	COQ8
P27705	MIG1
P27796	POT1
P27801	PEP3
P27809	KRE2
P27810	KTR1
P27825	CNE1
P27882	ERV1
P27895	CIN8
P27929	NAM9
P27999	RPB9
P28000	RPC19
P28003	FUN19
P28004	PRP45
P28005	POP5
P28006	GAC1
P28007	GAR1
P28239	PPA2
P28240	ICL1
P28241	IDH2
P28263	UBC8
P28272	URA1
P28273	OXP1
P28274	URA7
P28319	CWP1
P28320	YJU2
P28321	YJU3
P28495	CAP1
P28496	LAC1
P28519	RAD14
P28584	TRK2
P28625	YIM1
P28627	IMP1
P28707	SBA1
P28708	PRR1
P28737	MSP1
P28742	KIP1
P28743	KIP2
P28777	ARO2
P28778	MRP17
P28789	HEM3
P28791	SEC20
P28795	PEX3
P28817	EHD3
P28834	IDH1
P29029	CTS1
P29055	SUA7
P29056	BRF1
P29295	HRR25
P29311	BMH1
P29340	PEX4
P29366	BEM1
P29453	RPL8B
P29461	PTP2
P29465	CHS3
P29468	PAP1
P29469	MCM2
P29478	SEC65
P29496	MCM5
P29509	TRR1
P29539	RIF1
P29547	CAM1
P29703	RAM2
P29704	ERG9
P29952	PMI40
P30283	CLB5
P30402	URA10
P30605	ITR1
P30606	ITR2
P30619	SEC1
P30620	PSO2
P30624	FAA1
P30656	PRE2
P30657	PRE4
P30665	MCM4
P30771	NAM7
P30775	MRF1
P30777	GPI10
P30822	CRM1
P30902	ATP7
P30952	MLS1
P31109	SNC1
P31111	ZIP1
P31115	DEG1
P31116	HOM6
P31244	RAD16
P31334	MRPL9
P31373	CYS3
P31374	PSK1
P31376	SWC3
P31377	SYN8
P31378	NTG1
P31379	LDS1
P31380	FUN30
P31381	FUN26
P31382	PMT2
P31383	TPD3
P31384	CCR4
P31385	DEP1
P31386	ATS1
P31412	VMA5
P31539	HSP104
P31688	TPS2
P31755	OCH1
P31787	ACB1
P32048	MSK1
P32074	SEC21
P32178	ARO7
P32179	MET22
P32190	GUT1
P32191	GUT2
P32259	SIN4
P32263	PRO3
P32264	PRO1
P32266	MGM1
P32288	GLN1
P32316	ACH1
P32317	AFG1
P32318	THI4
P32319	PEP1
P32323	AGA1
P32324	EFT1
P32324	EFT2
P32325	DBF4
P32327	PYC2
P32328	DBF20
P32329	YPS1
P32330	DGR2
P32331	YMC1
P32332	OAC1
P32333	MOT1
P32334	MSB2
P32335	MSS51
P32336	NUD1
P32337	PSE1
P32338	RME1
P32339	HMX1
P32340	NDI1
P32341	VPH2
P32342	SRP21
P32343	SSH4
P32345	PPH3
P32347	HEM12
P32349	RPC82
P32350	KNS1
P32351	IMP2'
P32352	ERG2
P32353	ERG3
P32354	MCM10
P32356	NTH1
P32357	AAR2
P32361	IRE1
P32363	SPT14
P32364	SMY1
P32366	VMA6
P32367	TFC1
P32368	SAC1
P32375	DAL1
P32377	MVD1
P32378	COQ2
P32379	PUP2
P32380	SPC110
P32381	ARP2
P32383	PLC1
P32385	RNP1
P32386	YBT1
P32387	MRP20
P32388	MRP49
P32389	MET4
P32419	MDH3
P32432	SFP1
P32435	MF(ALPHA)2
P32445	RIM1
P32447	ASF1
P32449	ARO4
P32451	BIO2
P32452	PHA2
P32453	ATP11
P32454	APE2
P32457	CDC3
P32458	CDC11
P32459	DAL3
P32460	DCG1
P32461	DPH2
P32462	ERG24
P32463	ACP1
P32464	HYM1
P32465	HXT1
P32466	HXT3
P32467	HXT4
P32468	CDC12
P32469	DPH5
P32471	EFB1
P32472	FPR2
P32473	PDB1
P32474	EUG1
P32476	ERG1
P32477	GSH1
P32478	HSP150
P32479	HIR1
P32480	HIR2
P32481	GCD11
P32485	HOG1
P32486	KRE6
P32487	LYP1
P32489	MEI5
P32490	MKK1
P32491	MKK2
P32492	MYO4
P32494	NGG1
P32495	NHP2
P32496	RPN12
P32497	NIP1
P32499	NUP2
P32500	NDC1
P32501	GCD6
P32502	GCD7
P32505	NAB2
P32521	PAN1
P32522	PET309
P32523	PRP19
P32524	PRP21
P32525	ECM25
P32526	KAR9
P32527	ZUO1
P32528	DUR1,2
P32529	RPA12
P32558	SPT16
P32559	MSS1
P32561	RPD3
P32562	CDC5
P32563	VPH1
P32564	SCM4
P32565	RPN2
P32566	SMI1
P32567	PAH1
P32568	SNQ2
P32569	SRB4
P32570	SRB6
P32571	DOA4
P32572	SPS18
P32573	SPS19
P32578	SIP1
P32579	SUA5
P32580	SUV3
P32581	IME2
P32582	CYS4
P32583	SRP40
P32584	STE14
P32585	SRB5
P32588	PUB1
P32589	SSE1
P32590	SSE2
P32591	SWI3
P32597	STH1
P32598	GLC7
P32599	SAC6
P32600	TOR2
P32601	DSS4
P32602	SEC17
P32603	SPR1
P32604	FBP26
P32605	MUD1
P32606	PET127
P32607	RTG1
P32608	RTG2
P32609	PEP7
P32610	VMA8
P32611	RML2
P32612	PAU2
P32613	TCA17
P32614	FRD1
P32617	IES6
P32618	YEL043W
P32621	GDA1
P32622	YEF1
P32623	UTR2
P32626	UTR4
P32628	RAD23
P32629	ANP1
P32634	PMD1
P32639	BRR2
P32641	RAD24
P32642	GRX4
P32643	TMT1
P32644	ECM32
P32656	GCG1
P32657	CHD1
P32660	DNF1
P32767	KAP122
P32768	FLO1
P32769	HBS1
P32770	NRP1
P32771	SFA1
P32773	TOA1
P32774	TOA2
P32775	GLC3
P32776	TFB1
P32783	ABD1
P32784	SCT1
P32785	FMT1
P32786	RRN6
P32787	MGM101
P32789	ALK2
P32790	SLA1
P32791	FRE1
P32792	YSC83
P32793	YSC84
P32794	AFG2
P32795	YME1
P32796	CAT2
P32798	COT1
P32799	COX13
P32800	PEX2
P32801	ELM1
P32802	EMP70
P32803	EMP24
P32804	ZRT1
P32805	FZF1
P32806	GYP6
P32807	YKU70
P32828	SLX5
P32829	MRE11
P32830	TIM12
P32831	NGR1
P32832	NPL6
P32833	ORC2
P32835	GSP1
P32836	GSP2
P32837	UGA4
P32838	PPG1
P32839	BCS1
P32842	VMA11
P32843	YME2
P32844	SEC6
P32849	RAD5
P32854	PEP12
P32855	SEC8
P32857	PTM1
P32860	NFU1
P32861	UGP1
P32862	RGT1
P32863	RAD54
P32864	MRS6
P32867	SSO1
P32873	BEM3
P32874	HFA1
P32875	LIP5
P32891	DLD1
P32892	DRS1
P32893	TRS65
P32895	PRS1
P32896	PDC2
P32897	TIM23
P32898	CYM1
P32899	IMP3
P32900	SKG6
P32901	PTR2
P32902	MRP4
P32904	MRPL6
P32905	RPS0A
P32906	MNS1
P32907	ATO2
P32908	SMC1
P32909	SMY2
P32910	RPC34
P32911	SUI1
P32912	VAM7
P32913	VPS17
P32914	SPT4
P32915	SEC61
P32916	SRP101
P32917	STE5
P32939	YPT7
P32943	CLB6
P32944	SWE1
P32945	PPQ1
P33122	TYE7
P33200	PDR3
P33201	MRT4
P33202	UFD4
P33203	PRP40
P33204	ARC19
P33296	UBC6
P33297	RPT5
P33298	RPT3
P33299	RPT1
P33300	SUR1
P33302	PDR5
P33303	SFC1
P33304	AFR1
P33307	CSE1
P33309	DOM34
P33310	MDL1
P33311	MDL2
P33312	RIB7
P33313	CNS1
P33314	BUD2
P33315	TKL2
P33317	DUT1
P33322	CBF5
P33324	YKL091C
P33327	GDH2
P33328	SNC2
P33329	PPZ2
P33330	SER1
P33331	NTF2
P33332	SEC3
P33333	SLC1
P33334	PRP8
P33335	SGE1
P33336	SKN1
P33338	SLA2
P33339	TFC4
P33399	LHP1
P33400	RIM101
P33401	PGM1
P33411	PRP18
P33412	ECT1
P33413	DUR3
P33416	HSP78
P33417	IXR1
P33418	LOS1
P33420	NIP100
P33421	SDH3
P33441	MFT1
P33442	RPS1A
P33448	TOM6
P33550	KTR2
P33734	HIS7
P33748	MSN2
P33749	MSN4
P33750	SOF1
P33751	PAD1
P33753	TRM2
P33754	SEC66
P33755	NPL4
P33759	MRPS5
P33760	PEX6
P33767	WBP1
P33775	PMT1
P33890	TIR2
P33891	TIP20
P33892	GCN1
P33893	PET112
P33894	STE13
P33895	NUF2
P34077	NIC96
P34078	LTV1
P34087	RPB7
P34110	VPS35
P34111	TFC3
P34160	STO1
P34161	YOX1
P34162	SRB2
P34163	TGL1
P34164	SIP2
P34167	TIF3
P34216	EDE1
P34217	PIN4
P34218	SAS3
P34219	TOD6
P34220	YBL055C
P34221	PTC3
P34222	PTH2
P34223	SHP1
P34224	YBL059W
P34225	YEL1
P34226	SKT5
P34227	PRX1
P34228	SEF1
P34230	PXA2
P34232	MTR2
P34233	ASH1
P34234	LOT5
P34237	COY1
P34239	LST4
P34240	ZRT3
P34241	URB1
P34243	HCS1
P34244	HSL1
P34246	MTC2
P34247	UTP11
P34248	YKL100C
P34250	SEG2
P34251	YKL107W
P34252	SLD2
P34253	KTI12
P34730	BMH2
P34756	FAB1
P34758	SCD5
P34760	TSA1
P34761	WHI3
P34909	MOT2
P35056	PEX5
P35127	YUH1
P35169	TOR1
P35172	NTH2
P35176	CPR5
P35177	SPT7
P35178	RRP1
P35179	SSS1
P35180	TOM20
P35181	APS1
P35182	PTC1
P35183	AST1
P35184	SQT1
P35187	SGS1
P35189	TAF14
P35190	CLG1
P35191	MDJ1
P35192	MAC1
P35194	UTP20
P35195	ECM15
P35196	RER2
P35197	GCS1
P35198	MTH1
P35200	UPS2
P35201	MIF2
P35202	THI80
P35206	CSG2
P35207	SKI2
P35208	SPT10
P35209	SPT21
P35210	SPT23
P35497	SOR1
P35688	LRG1
P35691	TMA19
P35718	RPC25
P35719	MRP8
P35723	YET1
P35724	MNR2
P35728	MPE1
P35729	NUP120
P35731	OAR1
P35732	DEF1
P35734	ASK1
P35735	SFK1
P35736	YKL050C
P35817	BDF1
P35842	PHO11
P35843	HES1
P35844	KES1
P35845	SWH1
P35994	PAU16
P35995	YKL222C
P35996	MRPL38
P35997	RPS27A
P35999	OCT1
P36000	APL2
P36001	RMA1
P36002	PTK1
P36003	NNK1
P36004	KKQ8
P36005	KDX1
P36006	MYO3
P36007	SRY1
P36008	TEF4
P36009	DHR2
P36010	YNK1
P36012	CSE4
P36013	MAE1
P36014	GPX1
P36015	YKT6
P36016	LHS1
P36017	VPS21
P36018	YPT52
P36019	YPT53
P36022	DYN1
P36023	OAF3
P36024	SIS2
P36025	YOR062C
P36026	UBP11
P36027	MID2
P36029	TPO5
P36032	MCH2
P36033	FRE2
P36035	JEN1
P36036	YRA2
P36037	DOA1
P36039	EMC3
P36040	ADD66
P36044	MNN4
P36046	MIA40
P36047	SDS22
P36048	SNU114
P36049	EBP2
P36051	MCD4
P36052	YKL162C
P36053	ELF1
P36054	RCN1
P36056	RSM22
