From	To
A2P2R3	YMR084W
D6VTK4	STE2
D6W196	SAL1
O13297	CET1
O13516	RPS9A
O13525	COQ4
O13527	TY1B-A
O13535	TY1B-H
O13547	CCW14
O13559	YRF1-4
O13563	RPN13
O13577	DIF1
O13585	YPR089W
O14455	RPL36B
O14464	RTC6
O14467	MBF1
O60200	MDM35
O74700	TIM9
O75012	MRP10
O94742	SEM1
P00044	CYC1
P00045	CYC7
P00127	QCR6
P00128	QCR7
P00163	COB
P00175	CYB2
P00330	ADH1
P00331	ADH2
P00358	TDH2
P00359	TDH3
P00360	TDH1
P00401	COX1
P00410	COX2
P00420	COX3
P00424	COX5A
P00425	COX5B
P00427	COX6
P00431	CCP1
P00445	SOD1
P00447	SOD2
P00498	HIS1
P00546	CDC28
P00549	CDC19
P00560	PGK1
P00572	CDC8
P00635	PHO5
P00724	SUC2
P00729	PRC1
P00812	CAR1
P00815	HIS4
P00817	IPP1
P00830	ATP2
P00854	ATP6
P00856	ATP8
P00890	CIT1
P00899	TRP2
P00912	TRP1
P00924	ENO1
P00925	ENO2
P00927	ILV1
P00931	TRP5
P00937	TRP3
P00942	TPI1
P00950	GPM1
P00958	MES1
P01097	INH1
P01098	STF1
P01119	RAS1
P01120	RAS2
P01123	YPT1
P01149	MF(ALPHA)1
P02293	HTB1
P02294	HTB2
P02309	HHF1
P02309	HHF2
P02400	RPP2B
P02406	RPL28
P02407	RPS17A
P02557	TUB2
P02829	HSP82
P02992	TUF1
P02994	TEF1
P02994	TEF2
P03069	GCN4
P03873	BI2
P03875	AI1
P03876	AI2
P03877	AI3
P03878	AI4
P03879	BI4
P03881	Q0255
P03882	SCEI
P03962	URA3
P03965	CPA2
P04037	COX4
P04039	COX8
P04046	ADE4
P04050	RPO21
P04051	RPO31
P04076	ARG4
P04147	PAB1
P04161	ADE8
P04173	LEU2
P04385	GAL1
P04386	GAL4
P04387	GAL80
P04397	GAL10
P04449	RPL24A
P04456	RPL25
P04650	RPL39
P04710	AAC1
P04786	TOP1
P04801	THS1
P04802	DPS1
P04803	MSW1
P04806	HXK1
P04807	HXK2
P04817	CAN1
P04819	CDC9
P04821	CDC25
P04840	POR1
P04911	HTA1
P04912	HTA2
P05030	PMA1
P05066	PHR1
P05085	ARG81
P05150	ARG3
P05316	FUR4
P05317	RPP0
P05318	RPP1A
P05319	RPP2A
P05373	HEM2
P05374	CHO2
P05375	OPI3
P05453	SUP35
P05626	ATP4
P05694	MET6
P05737	RPL7A
P05738	RPL9A
P05739	RPL6B
P05740	RPL17A
P05743	RPL26A
P05744	RPL33A
P05745	RPL36A
P05747	RPL29
P05748	RPL15A
P05749	RPL22A
P05750	RPS3
P05755	RPS9B
P05756	RPS13
P05759	RPS31
P05986	TPK3
P06100	CDC36
P06101	CDC37
P06102	NOT3
P06103	PRT1
P06104	RAD6
P06105	SCP160
P06106	MET17
P06115	CTT1
P06168	ILV5
P06169	PDC1
P06174	HEM4
P06182	CYC3
P06197	PIS1
P06208	LEU4
P06242	KIN28
P06243	CDC7
P06244	TPK1
P06245	TPK2
P06367	RPS14A
P06633	HIS3
P06634	DED1
P06700	SIR2
P06701	SIR3
P06704	CDC31
P06738	GPH1
P06773	DCD1
P06774	HAP2
P06775	HIP1
P06776	PDE2
P06777	RAD1
P06778	RAD52
P06779	RAD7
P06780	RHO1
P06781	RHO2
P06782	SNF1
P06783	STE3
P06784	STE7
P06785	CDC21
P06786	TOP2
P06787	CMD1
P06838	RAD10
P06839	RAD3
P06843	SPT2
P06844	SPT3
P07143	CYT1
P07149	FAS1
P07170	ADK1
P07172	HIS5
P07213	TOM70
P07236	MST1
P07244	ADE5,7
P07245	ADE3
P07246	ADH3
P07248	ADR1
P07249	ARG80
P07250	ARG82
P07251	ATP1
P07253	CBP6
P07255	COX9
P07256	COR1
P07257	QCR2
P07258	CPA1
P07259	URA2
P07260	CDC33
P07261	GCR1
P07262	GDH1
P07263	HTS1
P07264	LEU1
P07266	MRS1
P07267	PEP4
P07269	PHO2
P07270	PHO4
P07271	PIF1
P07272	PPR1
P07273	DST1
P07274	PFY1
P07275	PUT2
P07276	RAD2
P07277	ERG12
P07278	BCY1
P07280	RPS19A
P07281	RPS19B
P07283	SEC53
P07284	SES1
P07285	TRP4
P07286	ALG7
P07342	ILV2
P07347	ARD1
P07560	SEC4
P07702	LYS2
P07703	RPC40
P07806	VAS1
P07807	DFR1
P07834	CDC4
P07866	LTE1
P07884	MOD5
P07991	CAR2
P08004	CHS1
P08018	PBS2
P08019	SGA1
P08067	RIP1
P08153	SWI5
P08417	FUM1
P08425	MSF1
P08431	GAL7
P08432	SPE1
P08456	CHO1
P08458	SPS1
P08459	SPS2
P08465	MET2
P08466	NUC1
P08518	RPB2
P08524	ERG20
P08525	QCR8
P08536	MET3
P08539	GPA1
P08566	ARO1
P08638	LEU3
P08640	FLO11
P08678	CYR1
P08679	CIT2
P08964	MYO1
P09032	GCD1
P09064	SUI3
P09119	CDC6
P09201	FBP1
P09232	PRB1
P09368	PUT1
P09435	SSA3
P09436	ILS1
P09440	MIS1
P09457	ATP5
P09547	SWI1
P09620	KEX1
P09624	LPD1
P09733	TUB1
P09734	TUB3
P09798	CDC16
P09880	TRL1
P09937	SPS4
P09938	RNR2
P09950	HEM1
P09959	SWI6
P0C074	YSF3
P0C0T4	RPS25B
P0C0V8	RPS21A
P0C0W1	RPS22A
P0C0W9	RPL11A
P0C0X0	RPS28B
P0C2H6	RPL27A
P0C2H7	RPL27B
P0C2H8	RPL31A
P0C2H9	RPL31B
P0C2I2	TY1B-DR5
P0C2I3	TY1B-DR6
P0C2I5	TY1B-LR2
P0C2I6	TY1B-LR3
P0C2I9	TY1B-PR1
P0C2J0	TY1B-PR2
P0C2J1	TY1B-PR3
P0C2J3	TY2B-LR1
P0C2J7	TY4B-H
P0C5R9	YPR170W-B
P0CD89	AQY2
P0CD92	AQY1
P0CD97	YER039C-A
P0CD98	YLL053C
P0CD99	MPH2
P0CE00	MPH3
P0CE11	HVG1
P0CE41	HAP1
P0CE68	NFT1
P0CE69	YKR104W
P0CE85	PAU19
P0CE86	PAU21
P0CF17	YML002W
P0CF18	YMR085W
P0CF19	YOL162W
P0CG63	UBI4
P0CH08	RPL40A
P0CH63	DDI2
P10080	SBP1
P10081	TIF1
P10081	TIF2
P10127	ADH4
P10174	COX7
P10356	YER152C
P10363	PRI1
P10507	MAS1
P10566	MRS3
P10591	SSA1
P10592	SSA2
P10614	ERG11
P10622	RPP1B
P10659	SAM1
P10662	MRP1
P10663	MRP2
P10664	RPL4A
P10823	GPA2
P10862	RAD18
P10863	TIR1
P10869	HOM3
P10870	SNF3
P10961	HSF1
P10962	MAK16
P10963	PCK1
P10964	RPA190
P11075	SEC7
P11076	ARF1
P11154	PYC1
P11325	NAM2
P11353	HEM13
P11412	ZWF1
P11433	CDC24
P11484	SSB1
P11491	PHO8
P11632	NHP6A
P11633	NHP6B
P11655	SEC12
P11709	BIK1
P11710	FUS1
P11745	RNA1
P11746	MCM1
P11747	TAF13
P11792	SCH9
P11914	MAS2
P11938	RAP1
P11972	SST2
P11978	SIR4
P11986	INO1
P12385	SUP45
P12611	WHI2
P12612	TCP1
P12630	BAR1
P12683	HMG1
P12684	HMG2
P12685	TRK1
P12687	MRP7
P12688	YPK1
P12689	REV1
P12695	LAT1
P12709	PGI1
P12753	RAD50
P12754	GCD2
P12866	STE6
P12868	PEP5
P12887	UNG1
P12904	SNF4
P12945	NAT1
P12954	SRS2
P12962	CAF20
P13045	GAL3
P13090	ATR1
P13099	TOP3
P13134	KEX2
P13181	GAL2
P13185	KIN1
P13186	KIN2
P13188	GLN4
P13259	PCT1
P13298	URA5
P13365	CLN3
P13382	POL1
P13393	SPT15
P13433	RPO41
P13434	HAP3
P13517	CAP2
P13574	STE12
P13586	PMR1
P13587	ENA1
P13663	HOM2
P13711	POX1
P13712	MSI1
P13856	RSR1
P13902	INO4
P14020	DPM1
P14063	MRPL31
P14065	GCY1
P14120	RPL30
P14126	RPL3
P14127	RPS17B
P14164	ABF1
P14180	CHS2
P14242	PMS1
P14284	REV3
P14306	TFS1
P14359	SNA3
P14540	FBA1
P14680	YAK1
P14681	KSS1
P14682	CDC34
P14693	SAM35
P14736	RAD4
P14737	RAD9
P14741	GCN3
P14742	GFA1
P14743	NMT1
P14747	CMP2
P14772	BPT1
P14832	CPR1
P14843	ARO3
P14904	APE1
P14905	CBS2
P14906	SEC63
P14907	NSP1
P14908	MTF1
P14922	CYC8
P15019	TAL1
P15108	HSC82
P15179	MSD1
P15180	KRS1
P15202	CTA1
P15274	AMD1
P15303	SEC23
P15315	CUP2
P15365	DAL5
P15367	SEC11
P15380	PUT4
P15424	MSS116
P15436	POL3
P15442	GCN2
P15454	GUK1
P15496	IDI1
P15565	TRM1
P15624	FRS1
P15625	FRS2
P15646	NOP1
P15700	URA6
P15703	BGL2
P15705	STI1
P15731	UBC4
P15732	UBC5
P15790	CKA1
P15801	MIP1
P15807	MET8
P15873	POL30
P15891	ABP1
P15938	PRP16
P15992	HSP26
P16120	THR4
P16140	VMA2
P16151	ERD1
P16370	RPB3
P16387	PDA1
P16451	PDX1
P16467	PDC5
P16474	KAR2
P16521	YEF3
P16522	CDC23
P16523	MER1
P16550	APA1
P16603	NCP1
P16622	HEM15
P16639	ATE1
P16649	TUP1
P16658	SEN2
P16661	ALG1
P16664	RGP1
P16861	PFK1
P16862	PFK2
P16892	FUS3
P16965	STF2
P17064	FCY2
P17065	SEC2
P17076	RPL8A
P17106	CBF1
P17119	KAR3
P17121	SAC7
P17123	SPO12
P17157	PHO85
P17214	EST1
P17255	VMA1
P17260	KRE1
P17261	ERS1
P17423	THR1
P17442	PHO81
P17505	MDH1
P17536	TPM1
P17555	SRV2
P17558	PET123
P17649	UGA1
P17695	GRX2
P17709	GLK1
P17883	SKI3
P17890	RPC31
P17891	CLC1
P17898	CPT1
P17967	PDI1
P18238	AAC3
P18239	PET9
P18408	MET16
P18409	MDM10
P18410	SPO7
P18411	FUN14
P18412	TEC1
P18414	ERD2
P18480	SNF5
P18494	GLN3
P18496	ATP10
P18544	ARG8
P18562	FUR1
P18634	ART10
P18759	SEC18
P18851	STE4
P18852	STE18
P18898	CDC43
P18899	DDR48
P18900	COQ1
P18961	YPK2
P18962	DAP2
P18963	IRA1
P19073	CDC42
P19097	FAS2
P19145	GAP1
P19146	ARF2
P19158	IRA2
P19211	ANB1
P19262	KGD2
P19263	RGR1
P19358	SAM2
P19414	ACO1
P19454	CKA2
P19516	COX11
P19524	MYO2
P19541	RDS2
P19657	PMA2
P19658	EXO70
P19659	GAL11
P19735	PRP6
P19736	PRP9
P19807	HNM1
P19812	UBR1
P19880	YAP1
P19881	PHO13
P19882	HSP60
P19955	YMR31
P19956	MRPL44
P20048	SEC59
P20049	TYR1
P20050	HOP1
P20051	URA4
P20052	PHO80
P20053	PRP4
P20081	FPR1
P20084	MRPL33
P20095	PRP2
P20107	ZRC1
P20133	BET2
P20134	SFL1
P20424	SRP54
P20433	RPB4
P20434	RPB5
P20435	RPO26
P20436	RPB8
P20437	CLN1
P20438	CLN2
P20447	DBP3
P20448	HCA4
P20449	DBP5
P20457	PRI2
P20459	SUI2
P20484	MAK11
P20485	CKI1
P20486	CKS1
P20604	SIT4
P20606	SAR1
P20676	NUP1
P20795	VPS33
P20840	SAG1
P20967	KGD1
P21147	OLE1
P21182	SPE2
P21192	ACE2
P21242	PRE10
P21243	SCL1
P21264	ADE2
P21268	FAR1
P21269	CCA1
P21304	PWP1
P21306	ATP15
P21339	MSB1
P21372	PRP5
P21373	UTR1
P21374	ISY1
P21375	OSM1
P21524	RNR1
P21538	REB1
P21560	CBP3
P21576	VPS1
P21592	COX10
P21595	DIT2
P21623	DIT1
P21657	DAL81
P21672	RNR3
P21734	UBC1
P21771	MRPS28
P21801	SDH2
P21825	SEC62
P21826	DAL7
P21827	SRM1
P21951	POL2
P21954	IDP1
P21957	OPI1
P21965	MCK1
P22007	RAM1
P22023	KRE5
P22035	BAS1
P22082	SNF2
P22108	APA2
P22133	MDH2
P22134	MAG1
P22135	ATP12
P22136	AEP2
P22137	CHC1
P22138	RPA135
P22139	RPB10
P22140	EPT1
P22141	PRE1
P22146	GAS1
P22147	XRN1
P22148	MSN1
P22149	AFT1
P22202	SSA4
P22203	VMA4
P22204	DBF2
P22209	KIN3
P22211	NPR1
P22213	SLY1
P22214	SEC22
P22215	SLY41
P22216	RAD53
P22217	TRX1
P22219	VPS15
P22224	SEC15
P22276	RET1
P22289	QCR9
P22336	RFA1
P22353	MRPL8
P22354	MRPL20
P22434	PDE1
P22438	MSM1
P22470	SAN1
P22515	UBA1
P22516	CHL1
P22517	CMK2
P22543	VPS34
P22579	SIN3
P22580	AMD2
P22696	ESS1
P22768	ARG1
P22803	TRX2
P22804	BET1
P22855	AMS1
P22936	APN1
P22943	HSP12
P23060	MAK32
P23179	SPO11
P23180	AIM17
P23201	SPA2
P23202	URE2
P23248	RPS1B
P23254	TKL1
P23255	TAF2
P23285	CPR2
P23287	CNA1
P23291	YCK1
P23292	YCK2
P23293	SGV1
P23301	HYP2
P23337	GSY1
P23369	MRPL25
P23394	PRP28
P23500	MRS4
P23501	YSR3
P23503	NAR1
P23542	AAT2
P23561	STE11
P23585	HXT2
P23594	PPH21
P23595	PPH22
P23615	SPT6
P23638	PRE9
P23639	PRE8
P23641	MIR1
P23642	VAN1
P23643	VPS3
P23644	TOM40
P23724	PRE7
P23748	MIH1
P23776	EXG1
P23796	RIT1
P23797	GPI12
P23833	SCO1
P23900	FPS1
P23968	VMA16
P24000	RPL24B
P24004	PEX1
P24031	PHO3
P24276	SSD1
P24279	MCM3
P24280	SEC14
P24309	DBR1
P24384	PRP22
P24482	DPB2
P24521	ERG8
P24583	PKC1
P24719	MEK1
P24783	DBP2
P24784	DBP1
P24813	CAD1
P24814	GRR1
P24867	PCL1
P24868	CLB1
P24869	CLB2
P24870	CLB3
P24871	CLB4
P25036	YSP3
P25037	UBP1
P25038	IFM1
P25039	MEF1
P25040	TSR4
P25042	ROX1
P25043	PUP1
P25044	PTP1
P25045	LCB1
P25046	ROX3
P25087	ERG6
P25270	MRM1
P25293	NAP1
P25294	SIS1
P25296	CNB1
P25297	PHO84
P25298	RNA14
P25299	RNA15
P25300	BUD5
P25301	RAD57
P25302	SWI4
P25303	SCJ1
P25332	RBK1
P25333	SAT4
P25334	CPR4
P25335	DAL2
P25336	MSH3
P25337	BUD31
P25338	MPO1
P25339	PUF4
P25340	ERG4
P25341	KIN82
P25342	CDC10
P25343	RVS161
P25344	STE50
P25345	SLM5
P25346	GIT1
P25348	MRPL32
P25349	YCP4
P25351	YCR023C
P25353	NPP1
P25355	CTR86
P25356	BPH1
P25357	SNT1
P25358	ELO2
P25359	RRP43
P25360	PHO87
P25362	PET18
