TF,Target,Mode,PMID,Tf_age,Tg_age,Tg_age_int,TF_age_int,age_length,TF_ID,Target_ID
Aatf,Bak1,Unknown,22983126,Eukaryota,Vertebrata,5,2,3,56321,12018
Aatf,Bax,Unknown,22983126,Eukaryota,Vertebrata,5,2,3,56321,12028
Aatf,Bbc3,Unknown,22983126,Eukaryota,Amniota,6,2,4,56321,170770
Aatf,Cdkn1a,Unknown,21317046,Eukaryota,Amniota,6,2,4,56321,12575
Aatf,Tpt1,Activation,17157788,Eukaryota,Eukaryota,2,2,0,56321,22070
Aatf,Trp53,Activation,17157788;20708154,Eukaryota,Vertebrata,5,2,3,56321,22059
Abl1,Trp53,Unknown,7651743,Eukaryota,Vertebrata,5,2,3,11350,22059
Abl1,Trp73,Unknown,11466610,Eukaryota,Vertebrata,5,2,3,11350,22062
Aebp2,Jarid2,Unknown,25451679,Eukaryota,Eukaryota,2,2,0,11569,16468
Aebp2,Snai2,Unknown,25451679,Eukaryota,Eumetazoa,4,2,2,11569,20583
Aes,Ihh,Activation,15183720,Eumetazoa,Eumetazoa,4,4,0,14797,16147
Ahr,Abcc4,Unknown,20395535,Eumetazoa,cellular organisms,1,4,3,11622,239273
Ahr,Apaf1,Unknown,18524851,Eumetazoa,Eukaryota,2,4,2,11622,11783
Ahr,Cyp19a1,Activation,16260617,Eumetazoa,cellular organisms,1,4,3,11622,13075
Ahr,Cyp1a1,Activation,1317062;15313166;19474220,Eumetazoa,cellular organisms,1,4,3,11622,13076
Ahr,Cyp1a1,Unknown,11248424;19470599;24639079,Eumetazoa,cellular organisms,1,4,3,11622,13076
Ahr,Cyp1a2,Unknown,22442665,Eumetazoa,cellular organisms,1,4,3,11622,13077
Ahr,Cyp1b1,Unknown,19470599;22442665,Eumetazoa,cellular organisms,1,4,3,11622,13078
Ahr,E2f2,Unknown,20573986,Eumetazoa,Eukaryota,2,4,2,11622,242705
Ahr,Gata4,Repression,22684894,Eumetazoa,Eukaryota,2,4,2,11622,14463
Ahr,Gsta1,Activation,19474220,Eumetazoa,Eukaryota,2,4,2,11622,14857
Ahr,Il17a,Repression,21266768,Eumetazoa,Amniota,6,4,2,11622,16171
Ahr,Il17a,Unknown,21266776,Eumetazoa,Amniota,6,4,2,11622,16171
Ahr,Il6,Repression,19703987;21930594,Eumetazoa,Amniota,6,4,2,11622,16193
Ahr,Lhb,Unknown,24145128,Eumetazoa,Amniota,6,4,2,11622,16866
Ahr,Nkx2-5,Repression,22684894,Eumetazoa,Eumetazoa,4,4,0,11622,18091
Ahr,Nqo1,Activation,19474220,Eumetazoa,cellular organisms,1,4,3,11622,18104
Ahr,Nqo1,Unknown,23800876,Eumetazoa,cellular organisms,1,4,3,11622,18104
Ahr,Pla2g4a,Activation,19716514,Eumetazoa,Eukaryota,2,4,2,11622,18783
Ahr,Ptgs2,Activation,15213229,Eumetazoa,Eukaryota,2,4,2,11622,19225
Ahr,Serpinb2,Unknown,19822660,Eumetazoa,cellular organisms,1,4,3,11622,18788
Ahr,Sim1,Unknown,14660629,Eumetazoa,Eumetazoa,4,4,0,11622,20464
Ahr,Smoc2,Unknown,19146932,Eumetazoa,Amniota,6,4,2,11622,64074
Ahr,Snai2,Activation,16952353,Eumetazoa,Eumetazoa,4,4,0,11622,20583
Ahr,Ugt1a6a,Activation,19474220,Eumetazoa,cellular organisms,1,4,3,11622,94284
Ahr,Vav3,Activation,21115475,Eumetazoa,Eukaryota,2,4,2,11622,57257
Aire,Bmp2,Unknown,23850677,Eukaryota,Eumetazoa,4,2,2,11634,12156
Aire,F11,Activation,22203960,Eukaryota,Eumetazoa,4,2,2,11634,109821
Alx4,Fgf10,Activation,25673119,Eukaryota,Eumetazoa,4,2,2,11695,14165
Ankrd1,Myl2,Repression,9043061,cellular organisms,Eukaryota,2,1,1,107765,17906
Ankrd1,Nppa,Repression,18273862,cellular organisms,Amniota,6,1,5,107765,230899
Apbb1,Lrp1,Repression,17920016,Eumetazoa,Eumetazoa,4,4,0,11785,16971
Apbb1,Notch1,Unknown,22199353,Eumetazoa,Eukaryota,2,4,2,11785,18128
Apc,Ctnnb1,Unknown,15327768,Eumetazoa,Eukaryota,2,4,2,11789,12387
Apc,Myc,Repression,10229202;16510874,Eumetazoa,Opisthokonta,3,4,1,11789,17869
Apc,Spp1,Activation,17565744,Eumetazoa,Amniota,6,4,2,11789,20750
Apc,Tcf4,Activation,10489374,Eumetazoa,Opisthokonta,3,4,1,11789,21413
Apc,Trp53,Repression,18533991,Eumetazoa,Vertebrata,5,4,1,11789,22059
Apex1,Apod,Unknown,20493910,cellular organisms,cellular organisms,1,1,0,11792,11815
Apex1,Blk,Activation,14594818,cellular organisms,Eukaryota,2,1,1,11792,12143
Apex1,Ccl12,Activation,17045925,cellular organisms,Amniota,6,1,5,11792,20293
Apex1,Nfkb1,Activation,17045925;20498636,cellular organisms,Eukaryota,2,1,1,11792,18033
Apex1,Nfkb1,Unknown,19268524,cellular organisms,Eukaryota,2,1,1,11792,18033
Apex1,Pax5,Activation,14594818,cellular organisms,Eumetazoa,4,1,3,11792,18507
