Symbol,GeneID
BAG3,9531
ABCB4,5244
EDA,1896
GSS,2937
DLX3,1747
IL22,50616
RBMX,27316
SYK,6850
NKX2-5,1482
GTF3C1,2975
IFNA2,3440
PRKN,5071
L1CAM,3897
PARP1,142
ITGB1,3688
MNDA,4332
SLC10A1,6554
ERG,2078
EBF3,253738
ETV4,2118
CYP17A1,1586
HAND2,9464
TDGF1,6997
DDC,1644
U2AF2,11338
NHLH2,4808
UBC,7316
PDIA6,10130
AATF,26574
GFER,2671
RARB,5915
CDK4,1019
IL21,59067
UBB,7314
ERAP1,51752
EDNRB,1910
SPINK4,27290
MAP1A,4130
POLH,5429
CD28,940
PEA15,8682
PMEPA1,56937
SMUG1,23583
MMP17,4326
DBI,1622
SMPD1,6609
ASPN,54829
HOXB8,3218
PLAG1,5324
CEBPG,1054
HBG1,3047
SNCB,6620
CD74,972
HIP1,3092
RHO,6010
TP53BP2,7159
EBNA1BP2,10969
CDK20,23552
CD151,977
VWF,7450
ERCC4,2072
ZHX2,22882
GRM2,2912
FKBP4,2288
BAMBI,25805
NFKB1,4790
DAP3,7818
SIRT6,51548
SLC15A1,6564
DUX4,100288687
PFKP,5214
GSC2,2928
ABCA1,19
IL6R,3570
HLX,3142
CYP2A6,1548
MAP3K14,9020
SCNN1B,6338
SLC22A2,6582
CNOT7,29883
ADAM23,8745
HDGF,3068
SP100,6672
CAPN10,11132
LRP8,7804
MPO,4353
NAMPT,10135
OPTN,10133
BABAM2,9577
MST1,4485
TGIF2,60436
CYP1A2,1544
SELE,6401
LEFTY1,10637
DIRAS3,9077
SI,6476
NCAM1,4684
EVX1,2128
FOXA1,3169
CFH,3075
HES1,3280
NSFL1C,55968
DHX9,1660
PTF1A,256297
RBM38,55544
SSTR2,6752
CD2,914
KAT6A,7994
G0S2,50486
TK1,7083
DBP,1628
ACSL1,2180
S100A6,6277
EED,8726
SMARCA1,6594
CD80,941
MAFA,389692
NR0B1,190
APC,324
DNMT1,1786
MMP9,4318
CCL11,6356
FGL1,2267
APOA4,337
PEBP1,5037
STMN2,11075
FUBP3,8939
PANK2,80025
NFATC3,4775
PAX1,5075
ALK,238
SEPT7,989
DMC1,11144
EHMT2,10919
L3MBTL1,26013
WISP2,8839
CD69,969
ATXN7,6314
TCF7,6932
CRYGB,1419
CSRP1,1465
FGG,2266
CRISP3,10321
HFE,3077
SOX17,64321
PDX1,3651
GLI1,2735
ETV5,2119
TLR4,7099
B4GALT1,2683
PSG3,5671
KLRK1,22914
SKI,6497
LIN28B,389421
ETF1,2107
GAD1,2571
PRKCA,5578
MMP1,4312
SFTPA1,653509
ESRRB,2103
DACH1,1602
INSL3,3640
SETBP1,26040
S100A11,6282
ELK1,2002
PKP3,11187
BRD2,6046
CHGB,1114
PPARGC1A,10891
HOXC6,3223
BCAS2,10286
ASS1,445
KLF9,687
PEG3,5178
TEK,7010
SIRT2,22933
SLC19A1,6573
CHRNA3,1136
COL1A1,1277
TAPBP,6892
EPSTI1,94240
PSMD11,5717
ABCC3,8714
PIK3CD,5293
FGF2,2247
PPIG,9360
PPP2R2D,55844
GDAP1,54332
CTSG,1511
TYR,7299
SRSF1,6426
SMO,6608
UBTF,7343
SLC7A1,6541
ABCC4,10257
SLC25A20,788
BACE1,23621
CBFA2T3,863
SLA2,84174
COL18A1,80781
AHRR,57491
SOCS7,30837
SCARB2,950
HOXA10,3206
PIK3CA,5290
HCFC1,3054
FOXL1,2300
RCAN1,1827
IGF2BP1,10642
POU5F1,5460
FXR2,9513
E2F7,144455
THBD,7056
PRRX1,5396
DICER1,23405
CDO1,1036
PC,5091
LDHC,3948
HMGCR,3156
IL4,3565
UGT1A6,54578
SFTPB,6439
HOXB13,10481
ACVRL1,94
HMGA2,8091
ONECUT2,9480
FOSB,2354
SOX10,6663
ETS1,2113
TFAP4,7023
KRAS,3845
VIP,7432
CTGF,1490
LDLR,3949
TDG,6996
AMACR,23600
HOXD1,3231
SPDEF,25803
NCOA3,8202
AK4,205
BARD1,580
PGK1,5230
FBN1,2200
PKLR,5313
MKL1,57591
GUCY1B1,2983
CDH6,1004
HP,3240
CYP3A5,1577
RORA,6095
CDC42BPG,55561
GP1BA,2811
DEDD,9191
RAG2,5897
APOE,348
PLA2G2A,5320
TAP2,6891
CTLA4,1493
CCL5,6352
KCNIP3,30818
HOXC8,3224
DCN,1634
TERF1,7013
ZNF224,7767
LMO1,4004
DSG4,147409
SET,6418
ALPL,249
E2F8,79733
ECT2,1894
ALDH1A2,8854
DRAP1,10589
BTG2,7832
TRPS1,7227
HDAC2,3066
HAMP,57817
CD19,930
RSPO2,340419
KRT20,54474
AR,367
PBXIP1,57326
EPCAM,4072
HLA-E,3133
ID3,3399
PIN1,5300
CEL,1056
CASP9,842
CDCA7L,55536
SETD2,29072
KCNN4,3783
CDA,978
SETDB1,9869
KLF3,51274
VEGFC,7424
REN,5972
UMOD,7369
HTR1A,3350
PDLIM7,9260
ATF4,468
ID4,3400
EREG,2069
UGT1A4,54657
BMP4,652
CBX5,23468
CDC25B,994
DNMT3L,29947
FGFR3,2261
BRIP1,83990
DCT,1638
MIA,8190
MEIS2,4212
DROSHA,29102
GATA4,2626
